year,clearance
2000,12.8
2001,14.4
2002,13.5
2003,14.2
2004,13.4
2005,10.9
2006,11.3
2007,10.5
2008,11.7
2009,11.1
2010,10.5
2011,9.1
2012,6.6
2013,6.8
2014,9.8
2015,5.9
2016,5.7
2017,4.8
2018,5.1
2019,4.7
2020,3.8
2021,2.4
