year,clearance
2000,9.4
2001,11.4
2002,9.6
2003,12.1
2004,9.2
2005,7.9
2006,9.2
2007,10.1
2008,12.3
2009,14.6
2010,12.8
2011,16.6
2012,12.8
2013,15.2
2014,14.4
2015,12.5
2016,15.8
2017,13
2018,15.5
2019,17.2
2020,11.5
2021,10.2
