year,clearance
2000,4
2001,2.5
2002,4.6
2003,3.8
2004,2.5
2005,2.1
2006,3.8
2007,3
2008,5.8
2009,4.5
2010,2.8
2011,3.5
2012,4.8
2013,6.6
2014,4.3
2015,7.2
2016,7.9
2017,8.8
2018,9.4
2019,9.2
2020,8.7
2021,7.2
