year,clearance
2000,36.7
2001,36.8
2002,39.4
2003,46.5
2004,36.1
2005,48.1
2006,40.3
2007,36.7
2008,44.4
2009,50.1
2010,46.8
2011,47.4
2012,42.6
2013,48.2
2014,38
2015,39.7
2016,41.6
2017,42.1
2018,43.1
2019,43.4
2020,36.9
2021,36.7
