year,clearance
2000,24
2001,24.7
2002,24.3
2003,47.4
2004,33.6
2005,23.8
2006,27.9
2007,26.4
2008,41
2009,22.9
2010,21.1
2011,23.7
2012,22.2
2013,22.4
2014,30.7
2015,37.5
2016,97.7
2017,17.2
2018,16.1
2019,14.2
2020,18.7
2021,12.2
