year,clearance
2000,18.1
2001,18.4
2002,25.3
2003,37.8
2004,18.5
2005,14.7
2006,15.4
2007,15.8
2008,23.4
2009,25.4
2010,23.7
2011,26
2012,19.8
2013,23.7
2014,22.9
2015,22.6
2016,24.1
2017,24
2018,27.5
2019,27.2
2020,25.2
2021,21.5
