district,category,total18,total19,total20,total21,ytd2022,updated,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
Citywide,Homicide,46,41,48,56,5,2023-02-05,57,145,48.3,36.6,39,1.8,18,5,5.9,6.9,7,5.9
Citywide,Rape,435,396,224,204,15,2023-02-05,236,824,274.7,-48.5,-40.4,15.7,-14,48.6,27.5,25,28.9,33.7
Citywide,Robbery,3228,3099,2404,2242,235,2023-02-05,2402,7745,2581.7,-27.7,-22.5,7.1,-7,380.2,294.9,275,294.7,316.7
Citywide,Aggravated Assault,2639,2547,2183,2381,216,2023-02-05,2597,7111,2370.3,-6.5,2,9.1,10,312.4,267.8,292.1,318.6,290.8
Citywide,Human Trafficking - Sex Act,109,51,24,29,1,2023-02-05,16,104,34.7,-43.1,-68.6,-44.8,-54,6.3,2.9,3.6,2,4.3
Citywide,Human Trafficking - Inv Serv,1,0,0,0,0,2023-02-05,0,0,0,NA,NA,NA,NA,0,0,0,0,0
Citywide,Burglary,5685,4961,7575,7217,512,2023-02-05,5890,19753,6584.3,45.5,18.7,-18.4,-11,608.6,929.2,885.3,722.5,807.7
Citywide,Larceny Theft,42610,42022,25692,31139,2462,2023-02-05,34959,98853,32951,-25.9,-16.8,12.3,6,5154.8,3151.6,3819.8,4288.4,4042.1
Citywide,Motor Vehicle Theft,4363,4442,6082,6030,543,2023-02-05,6178,16554,5518,35.7,39.1,2.5,12,544.9,746.1,739.7,757.8,676.9
Citywide,Arson,288,285,411,387,30,2023-02-05,288,1083,361,35.8,1.1,-25.6,-20,35,50.4,47.5,35.3,44.3
