district,category,total18,total19,total20,total21,ytd2022,updated,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
Citywide,Homicide,46,41,48,56,55,2022-12-25,56,145,48.3,36.6,36.6,0,16,5,5.9,6.9,6.9,5.9
Citywide,Rape,435,396,224,204,231,2022-12-25,234,824,274.7,-48.5,-40.9,14.7,-15,48.6,27.5,25,28.7,33.7
Citywide,Robbery,3228,3099,2404,2242,2332,2022-12-25,2364,7745,2581.7,-27.7,-23.7,5.4,-8,380.2,294.9,275,290,316.7
Citywide,Aggravated Assault,2639,2547,2183,2381,2562,2022-12-25,2594,7111,2370.3,-6.5,1.8,8.9,9,312.4,267.8,292.1,318.2,290.8
Citywide,Human Trafficking - Sex Act,109,51,24,29,18,2022-12-25,0,104,34.7,-43.1,-100,-100,-100,6.3,2.9,3.6,0,4.3
Citywide,Human Trafficking - Inv Serv,1,0,0,0,1,2022-12-25,0,0,0,NA,NA,NA,NA,0,0,0,0,0
Citywide,Burglary,5685,4961,7575,7217,5752,2022-12-25,5868,19753,6584.3,45.5,18.3,-18.7,-11,608.6,929.2,885.3,719.8,807.7
Citywide,Larceny Theft,42610,42022,25692,31139,34529,2022-12-25,35052,98853,32951,-25.9,-16.6,12.6,6,5154.8,3151.6,3819.8,4299.8,4042.1
Citywide,Motor Vehicle Theft,4363,4442,6082,6030,6166,2022-12-25,6263,16554,5518,35.7,41,3.9,14,544.9,746.1,739.7,768.3,676.9
Citywide,Arson,288,285,411,387,292,2022-12-25,294,1083,361,35.8,3.2,-24,-19,35,50.4,47.5,36.1,44.3
