district,category,total18,total19,total20,total21,ytd2022,updated,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
Citywide,Homicide,46,41,48,56,2,2023-01-08,57,145,48.3,36.6,39,1.8,18,5,5.9,6.9,7,5.9
Citywide,Rape,435,396,224,204,2,2023-01-08,236,824,274.7,-48.5,-40.4,15.7,-14,48.6,27.5,25,28.9,33.7
Citywide,Robbery,3228,3099,2404,2242,43,2023-01-08,2359,7745,2581.7,-27.7,-23.9,5.2,-9,380.2,294.9,275,289.4,316.7
Citywide,Aggravated Assault,2639,2547,2183,2381,44,2023-01-08,2583,7111,2370.3,-6.5,1.4,8.5,9,312.4,267.8,292.1,316.9,290.8
Citywide,Human Trafficking - Sex Act,109,51,24,29,0,2023-01-08,0,104,34.7,-43.1,-100,-100,-100,6.3,2.9,3.6,0,4.3
Citywide,Human Trafficking - Inv Serv,1,0,0,0,0,2023-01-08,0,0,0,NA,NA,NA,NA,0,0,0,0,0
Citywide,Burglary,5685,4961,7575,7217,95,2023-01-08,5911,19753,6584.3,45.5,19.1,-18.1,-10,608.6,929.2,885.3,725.1,807.7
Citywide,Larceny Theft,42610,42022,25692,31139,362,2023-01-08,35193,98853,32951,-25.9,-16.3,13,7,5154.8,3151.6,3819.8,4317.1,4042.1
Citywide,Motor Vehicle Theft,4363,4442,6082,6030,89,2023-01-08,6243,16554,5518,35.7,40.5,3.5,13,544.9,746.1,739.7,765.8,676.9
Citywide,Arson,288,285,411,387,8,2023-01-08,294,1083,361,35.8,3.2,-24,-19,35,50.4,47.5,36.1,44.3
