district,category,total18,total19,total20,total21,ytd2022,updated,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
Citywide,Homicide,46,41,48,56,51,2022-11-27,56,145,48.3,36.6,36.6,0,16,5,5.9,6.9,6.9,5.9
Citywide,Rape,435,396,224,204,215,2022-11-27,235,824,274.7,-48.5,-40.7,15.2,-14,48.6,27.5,25,28.8,33.7
Citywide,Robbery,3228,3099,2404,2242,2184,2022-11-27,2388,7745,2581.7,-27.7,-22.9,6.5,-8,380.2,294.9,275,292.9,316.7
Citywide,Aggravated Assault,2639,2547,2183,2381,2375,2022-11-27,2584,7111,2370.3,-6.5,1.5,8.5,9,312.4,267.8,292.1,317,290.8
Citywide,Human Trafficking - Sex Act,109,51,24,29,17,2022-11-27,18,104,34.7,-43.1,-64.7,-37.9,-48,6.3,2.9,3.6,2.2,4.3
Citywide,Human Trafficking - Inv Serv,1,0,0,0,1,2022-11-27,0,0,0,NA,NA,NA,NA,0,0,0,0,0
Citywide,Burglary,5685,4961,7575,7217,5292,2022-11-27,5913,19753,6584.3,45.5,19.2,-18.1,-10,608.6,929.2,885.3,725.3,807.7
Citywide,Larceny Theft,42610,42022,25692,31139,31814,2022-11-27,35357,98853,32951,-25.9,-15.9,13.5,7,5154.8,3151.6,3819.8,4337.2,4042.1
Citywide,Motor Vehicle Theft,4363,4442,6082,6030,5664,2022-11-27,6293,16554,5518,35.7,41.7,4.4,14,544.9,746.1,739.7,772,676.9
Citywide,Arson,288,285,411,387,273,2022-11-27,283,1083,361,35.8,-0.7,-26.9,-22,35,50.4,47.5,34.7,44.3
