district,category,total18,total19,total20,total21,ytd2022,updated,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
Citywide,Homicide,46,41,48,56,0,2023-01-01,0,145,48.3,36.6,-100,-100,-100,5,5.9,6.9,0,5.9
Citywide,Rape,435,396,224,204,0,2023-01-01,235,824,274.7,-48.5,-40.7,15.2,-14,48.6,27.5,25,28.8,33.7
Citywide,Robbery,3228,3099,2404,2242,6,2023-01-01,2360,7745,2581.7,-27.7,-23.8,5.3,-9,380.2,294.9,275,289.5,316.7
Citywide,Aggravated Assault,2639,2547,2183,2381,11,2023-01-01,2587,7111,2370.3,-6.5,1.6,8.7,9,312.4,267.8,292.1,317.3,290.8
Citywide,Human Trafficking - Sex Act,109,51,24,29,0,2023-01-01,0,104,34.7,-43.1,-100,-100,-100,6.3,2.9,3.6,0,4.3
Citywide,Human Trafficking - Inv Serv,1,0,0,0,0,2023-01-01,0,0,0,NA,NA,NA,NA,0,0,0,0,0
Citywide,Burglary,5685,4961,7575,7217,11,2023-01-01,5907,19753,6584.3,45.5,19.1,-18.2,-10,608.6,929.2,885.3,724.6,807.7
Citywide,Larceny Theft,42610,42022,25692,31139,46,2023-01-01,35220,98853,32951,-25.9,-16.2,13.1,7,5154.8,3151.6,3819.8,4320.4,4042.1
Citywide,Motor Vehicle Theft,4363,4442,6082,6030,11,2023-01-01,6272,16554,5518,35.7,41.2,4,14,544.9,746.1,739.7,769.4,676.9
Citywide,Arson,288,285,411,387,1,2023-01-01,293,1083,361,35.8,2.8,-24.3,-19,35,50.4,47.5,35.9,44.3
