district,category,total18,total19,total20,total21,ytd2022,updated,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
Citywide,Homicide,46,41,48,56,48,2022-11-20,55,145,48.3,36.6,34.1,-1.8,14,5,5.9,6.9,6.7,5.9
Citywide,Rape,435,396,224,204,211,2022-11-20,234,824,274.7,-48.5,-40.9,14.7,-15,48.6,27.5,25,28.7,33.7
Citywide,Robbery,3228,3099,2404,2242,2146,2022-11-20,2379,7745,2581.7,-27.7,-23.2,6.1,-8,380.2,294.9,275,291.8,316.7
Citywide,Aggravated Assault,2639,2547,2183,2381,2330,2022-11-20,2583,7111,2370.3,-6.5,1.4,8.5,9,312.4,267.8,292.1,316.9,290.8
Citywide,Human Trafficking - Sex Act,109,51,24,29,15,2022-11-20,16,104,34.7,-43.1,-68.6,-44.8,-54,6.3,2.9,3.6,2,4.3
Citywide,Human Trafficking - Inv Serv,1,0,0,0,1,2022-11-20,0,0,0,NA,NA,NA,NA,0,0,0,0,0
Citywide,Burglary,5685,4961,7575,7217,5190,2022-11-20,5960,19753,6584.3,45.5,20.1,-17.4,-9,608.6,929.2,885.3,731.1,807.7
Citywide,Larceny Theft,42610,42022,25692,31139,31089,2022-11-20,35460,98853,32951,-25.9,-15.6,13.9,8,5154.8,3151.6,3819.8,4349.8,4042.1
Citywide,Motor Vehicle Theft,4363,4442,6082,6030,5547,2022-11-20,6279,16554,5518,35.7,41.4,4.1,14,544.9,746.1,739.7,770.2,676.9
Citywide,Arson,288,285,411,387,267,2022-11-20,289,1083,361,35.8,1.4,-25.3,-20,35,50.4,47.5,35.5,44.3
