district,category,total18,total19,total20,total21,ytd2022,updated,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
Citywide,Homicide,46,41,48,56,51,2022-12-04,55,145,48.3,36.6,34.1,-1.8,14,5,5.9,6.9,6.7,5.9
Citywide,Rape,435,396,224,204,219,2022-12-04,236,824,274.7,-48.5,-40.4,15.7,-14,48.6,27.5,25,28.9,33.7
Citywide,Robbery,3228,3099,2404,2242,2221,2022-12-04,2378,7745,2581.7,-27.7,-23.3,6.1,-8,380.2,294.9,275,291.7,316.7
Citywide,Aggravated Assault,2639,2547,2183,2381,2418,2022-12-04,2579,7111,2370.3,-6.5,1.3,8.3,9,312.4,267.8,292.1,316.4,290.8
Citywide,Human Trafficking - Sex Act,109,51,24,29,17,2022-12-04,0,104,34.7,-43.1,-100,-100,-100,6.3,2.9,3.6,0,4.3
Citywide,Human Trafficking - Inv Serv,1,0,0,0,1,2022-12-04,0,0,0,NA,NA,NA,NA,0,0,0,0,0
Citywide,Burglary,5685,4961,7575,7217,5405,2022-12-04,5897,19753,6584.3,45.5,18.9,-18.3,-10,608.6,929.2,885.3,723.4,807.7
Citywide,Larceny Theft,42610,42022,25692,31139,32404,2022-12-04,35101,98853,32951,-25.9,-16.5,12.7,7,5154.8,3151.6,3819.8,4305.8,4042.1
Citywide,Motor Vehicle Theft,4363,4442,6082,6030,5795,2022-12-04,6284,16554,5518,35.7,41.5,4.2,14,544.9,746.1,739.7,770.9,676.9
Citywide,Arson,288,285,411,387,278,2022-12-04,286,1083,361,35.8,0.4,-26.1,-21,35,50.4,47.5,35.1,44.3
