district,category,total18,total19,total20,total21,ytd2022,updated,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
Citywide,Homicide,46,41,48,56,4,2023-01-29,57,145,48.3,36.6,39,1.8,18,5,5.9,6.9,7,5.9
Citywide,Rape,435,396,224,204,8,2023-01-29,239,824,274.7,-48.5,-39.6,17.2,-13,48.6,27.5,25,29.3,33.7
Citywide,Robbery,3228,3099,2404,2242,182,2023-01-29,2394,7745,2581.7,-27.7,-22.7,6.8,-7,380.2,294.9,275,293.7,316.7
Citywide,Aggravated Assault,2639,2547,2183,2381,177,2023-01-29,2595,7111,2370.3,-6.5,1.9,9,9,312.4,267.8,292.1,318.3,290.8
Citywide,Human Trafficking - Sex Act,109,51,24,29,1,2023-01-29,17,104,34.7,-43.1,-66.7,-41.4,-51,6.3,2.9,3.6,2.1,4.3
Citywide,Human Trafficking - Inv Serv,1,0,0,0,0,2023-01-29,0,0,0,NA,NA,NA,NA,0,0,0,0,0
Citywide,Burglary,5685,4961,7575,7217,420,2023-01-29,5899,19753,6584.3,45.5,18.9,-18.3,-10,608.6,929.2,885.3,723.6,807.7
Citywide,Larceny Theft,42610,42022,25692,31139,2030,2023-01-29,35145,98853,32951,-25.9,-16.4,12.9,7,5154.8,3151.6,3819.8,4311.2,4042.1
Citywide,Motor Vehicle Theft,4363,4442,6082,6030,412,2023-01-29,6202,16554,5518,35.7,39.6,2.9,12,544.9,746.1,739.7,760.8,676.9
Citywide,Arson,288,285,411,387,25,2023-01-29,289,1083,361,35.8,1.4,-25.3,-20,35,50.4,47.5,35.5,44.3
