district,category,total18,total19,total20,total21,ytd2022,updated,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
Citywide,Homicide,46,41,48,56,8,2023-03-05,56,145,48.3,36.6,36.6,0,16,5,5.9,6.9,6.9,5.9
Citywide,Rape,435,396,224,204,34,2023-03-05,235,824,274.7,-48.5,-40.7,15.2,-14,48.6,27.5,25,28.8,33.7
Citywide,Robbery,3228,3099,2404,2242,472,2023-03-05,2457,7745,2581.7,-27.7,-20.7,9.6,-5,380.2,294.9,275,301.4,316.7
Citywide,Aggravated Assault,2639,2547,2183,2381,396,2023-03-05,2591,7111,2370.3,-6.5,1.7,8.8,9,312.4,267.8,292.1,317.8,290.8
Citywide,Human Trafficking - Sex Act,109,51,24,29,2,2023-03-05,15,104,34.7,-43.1,-70.6,-48.3,-57,6.3,2.9,3.6,1.8,4.3
Citywide,Human Trafficking - Inv Serv,1,0,0,0,0,2023-03-05,0,0,0,NA,NA,NA,NA,0,0,0,0,0
Citywide,Burglary,5685,4961,7575,7217,954,2023-03-05,5912,19753,6584.3,45.5,19.2,-18.1,-10,608.6,929.2,885.3,725.2,807.7
Citywide,Larceny Theft,42610,42022,25692,31139,4958,2023-03-05,34901,98853,32951,-25.9,-16.9,12.1,6,5154.8,3151.6,3819.8,4281.3,4042.1
Citywide,Motor Vehicle Theft,4363,4442,6082,6030,1017,2023-03-05,6104,16554,5518,35.7,37.4,1.2,11,544.9,746.1,739.7,748.8,676.9
Citywide,Arson,288,285,411,387,59,2023-03-05,298,1083,361,35.8,4.6,-23,-17,35,50.4,47.5,36.6,44.3
