district,category,ytd2022,ytd2021,updated
Bayview,ARSON,1,0,2023-01-08
Bayview,ASSAULT,5,4,2023-01-08
Bayview,BURGLARY,13,13,2023-01-08
Bayview,HOMICIDE,0,0,2023-01-08
Bayview,LARCENY THEFT,12,39,2023-01-08
Bayview,MOTOR VEHICLE THEFT,16,14,2023-01-08
Bayview,RAPE,0,2,2023-01-08
Bayview,ROBBERY,5,7,2023-01-08
Bayview,TOTAL,52,79,2023-01-08
Central,ARSON,0,0,2023-01-08
Central,ASSAULT,6,8,2023-01-08
Central,BURGLARY,12,13,2023-01-08
Central,HOMICIDE,0,0,2023-01-08
Central,LARCENY THEFT,110,101,2023-01-08
Central,MOTOR VEHICLE THEFT,8,10,2023-01-08
Central,RAPE,0,1,2023-01-08
Central,ROBBERY,3,11,2023-01-08
Central,TOTAL,139,144,2023-01-08
Citywide,ARSON,8,7,2023-01-08
Citywide,ASSAULT,44,0,2023-01-08
Citywide,BURGLARY,95,131,2023-01-08
Citywide,HOMICIDE,2,1,2023-01-08
Citywide,LARCENY THEFT,362,633,2023-01-08
Citywide,MOTOR VEHICLE THEFT,89,129,2023-01-08
Citywide,RAPE,2,4,2023-01-08
Citywide,ROBBERY,43,55,2023-01-08
Citywide,TOTAL,645,1011,2023-01-08
Ingleside,ARSON,2,0,2023-01-08
Ingleside,ASSAULT,4,5,2023-01-08
Ingleside,BURGLARY,8,15,2023-01-08
Ingleside,HOMICIDE,0,0,2023-01-08
Ingleside,LARCENY THEFT,11,23,2023-01-08
Ingleside,MOTOR VEHICLE THEFT,18,19,2023-01-08
Ingleside,RAPE,2,0,2023-01-08
Ingleside,ROBBERY,6,2,2023-01-08
Ingleside,TOTAL,0,64,2023-01-08
Mission,ARSON,0,1,2023-01-08
Mission,ASSAULT,10,5,2023-01-08
Mission,BURGLARY,16,21,2023-01-08
Mission,HOMICIDE,1,0,2023-01-08
Mission,LARCENY THEFT,27,69,2023-01-08
Mission,MOTOR VEHICLE THEFT,13,24,2023-01-08
Mission,RAPE,0,0,2023-01-08
Mission,ROBBERY,3,7,2023-01-08
Mission,TOTAL,70,127,2023-01-08
Northern,ARSON,0,3,2023-01-08
Northern,ASSAULT,3,7,2023-01-08
Northern,BURGLARY,15,16,2023-01-08
Northern,HOMICIDE,1,0,2023-01-08
Northern,LARCENY THEFT,79,111,2023-01-08
Northern,MOTOR VEHICLE THEFT,8,14,2023-01-08
Northern,RAPE,0,0,2023-01-08
Northern,ROBBERY,4,7,2023-01-08
Northern,TOTAL,110,158,2023-01-08
Park,ARSON,0,2,2023-01-08
Park,ASSAULT,0,2,2023-01-08
Park,BURGLARY,7,9,2023-01-08
Park,HOMICIDE,0,0,2023-01-08
Park,LARCENY THEFT,17,32,2023-01-08
Park,MOTOR VEHICLE THEFT,2,4,2023-01-08
Park,RAPE,0,0,2023-01-08
Park,ROBBERY,2,2,2023-01-08
Park,TOTAL,28,51,2023-01-08
Richmond,ARSON,1,0,2023-01-08
Richmond,ASSAULT,1,1,2023-01-08
Richmond,BURGLARY,6,13,2023-01-08
Richmond,HOMICIDE,0,0,2023-01-08
Richmond,LARCENY THEFT,37,78,2023-01-08
Richmond,MOTOR VEHICLE THEFT,6,5,2023-01-08
Richmond,RAPE,0,0,2023-01-08
Richmond,ROBBERY,4,2,2023-01-08
Richmond,TOTAL,55,99,2023-01-08
Southern,ARSON,2,1,2023-01-08
Southern,ASSAULT,8,7,2023-01-08
Southern,BURGLARY,5,19,2023-01-08
Southern,HOMICIDE,0,1,2023-01-08
Southern,LARCENY THEFT,20,86,2023-01-08
Southern,MOTOR VEHICLE THEFT,6,15,2023-01-08
Southern,RAPE,0,0,2023-01-08
Southern,ROBBERY,6,5,2023-01-08
Southern,TOTAL,47,134,2023-01-08
Taraval,ARSON,0,0,2023-01-08
Taraval,ASSAULT,1,3,2023-01-08
Taraval,BURGLARY,7,6,2023-01-08
Taraval,HOMICIDE,0,0,2023-01-08
Taraval,LARCENY THEFT,30,58,2023-01-08
Taraval,MOTOR VEHICLE THEFT,9,20,2023-01-08
Taraval,RAPE,0,0,2023-01-08
Taraval,ROBBERY,1,3,2023-01-08
Taraval,TOTAL,48,90,2023-01-08
Tenderloin,ARSON,2,0,2023-01-08
Tenderloin,ASSAULT,6,9,2023-01-08
Tenderloin,BURGLARY,6,6,2023-01-08
Tenderloin,HOMICIDE,0,0,2023-01-08
Tenderloin,LARCENY THEFT,17,25,2023-01-08
Tenderloin,MOTOR VEHICLE THEFT,3,4,2023-01-08
Tenderloin,RAPE,0,1,2023-01-08
Tenderloin,ROBBERY,9,9,2023-01-08
Tenderloin,TOTAL,43,54,2023-01-08
