district,category,ytd2023,ytd2022,updated
Bayview,ARSON,17,21,2023-06-04
Bayview,ASSAULT,127,155,2023-06-04
Bayview,BURGLARY,178,251,2023-06-04
Bayview,HOMICIDE,5,2,2023-06-04
Bayview,HUMAN TRAFFICKING - SEX ACT,0,1,2023-06-04
Bayview,LARCENY THEFT,658,648,2023-06-04
Bayview,MOTOR VEHICLE THEFT,531,421,2023-06-04
Bayview,RAPE,1,12,2023-06-04
Bayview,ROBBERY,127,97,2023-06-04
Bayview,TOTAL,1644,1608,2023-06-04
Central,ARSON,16,8,2023-06-04
Central,ASSAULT,81,94,2023-06-04
Central,BURGLARY,325,292,2023-06-04
Central,HOMICIDE,2,0,2023-06-04
Central,HUMAN TRAFFICKING - SEX ACT,0,1,2023-06-04
Central,LARCENY THEFT,3160,2938,2023-06-04
Central,MOTOR VEHICLE THEFT,149,209,2023-06-04
Central,RAPE,7,10,2023-06-04
Central,ROBBERY,133,127,2023-06-04
Central,TOTAL,3873,3679,2023-06-04
Citywide,ARSON,126,120,2023-06-04
Citywide,ASSAULT,1031,1047,2023-06-04
Citywide,BURGLARY,2289,2570,2023-06-04
Citywide,HOMICIDE,21,20,2023-06-04
Citywide,HUMAN TRAFFICKING - SEX ACT,5,10,2023-06-04
Citywide,LARCENY THEFT,12782,14268,2023-06-04
Citywide,MOTOR VEHICLE THEFT,2776,2627,2023-06-04
Citywide,RAPE,86,112,2023-06-04
Citywide,ROBBERY,1106,953,2023-06-04
Citywide,TOTAL,20222,21727,2023-06-04
Ingleside,ARSON,11,12,2023-06-04
Ingleside,ASSAULT,105,96,2023-06-04
Ingleside,BURGLARY,235,242,2023-06-04
Ingleside,HOMICIDE,2,3,2023-06-04
Ingleside,HUMAN TRAFFICKING - SEX ACT,0,0,2023-06-04
Ingleside,LARCENY THEFT,668,700,2023-06-04
Ingleside,MOTOR VEHICLE THEFT,465,394,2023-06-04
Ingleside,RAPE,13,11,2023-06-04
Ingleside,ROBBERY,129,77,2023-06-04
Ingleside,TOTAL,1628,1535,2023-06-04
Mission,ARSON,15,10,2023-06-04
Mission,ASSAULT,166,161,2023-06-04
Mission,BURGLARY,267,357,2023-06-04
Mission,HOMICIDE,1,8,2023-06-04
Mission,HUMAN TRAFFICKING - SEX ACT,4,1,2023-06-04
Mission,LARCENY THEFT,1079,1437,2023-06-04
Mission,MOTOR VEHICLE THEFT,377,400,2023-06-04
Mission,RAPE,14,11,2023-06-04
Mission,ROBBERY,159,166,2023-06-04
Mission,TOTAL,2082,2551,2023-06-04
Northern,ARSON,20,29,2023-06-04
Northern,ASSAULT,107,129,2023-06-04
Northern,BURGLARY,416,386,2023-06-04
Northern,HOMICIDE,2,1,2023-06-04
Northern,HUMAN TRAFFICKING - SEX ACT,0,1,2023-06-04
Northern,LARCENY THEFT,2269,2493,2023-06-04
Northern,MOTOR VEHICLE THEFT,297,297,2023-06-04
Northern,RAPE,8,15,2023-06-04
Northern,ROBBERY,136,112,2023-06-04
Northern,TOTAL,3255,3463,2023-06-04
Park,ARSON,2,4,2023-06-04
Park,ASSAULT,32,24,2023-06-04
Park,BURGLARY,134,206,2023-06-04
Park,HOMICIDE,1,0,2023-06-04
Park,HUMAN TRAFFICKING - SEX ACT,0,0,2023-06-04
Park,LARCENY THEFT,565,639,2023-06-04
Park,MOTOR VEHICLE THEFT,140,129,2023-06-04
Park,RAPE,5,8,2023-06-04
Park,ROBBERY,27,24,2023-06-04
Park,TOTAL,906,1034,2023-06-04
Richmond,ARSON,8,3,2023-06-04
Richmond,ASSAULT,27,31,2023-06-04
Richmond,BURGLARY,166,210,2023-06-04
Richmond,HOMICIDE,1,0,2023-06-04
Richmond,HUMAN TRAFFICKING - SEX ACT,0,0,2023-06-04
Richmond,LARCENY THEFT,1349,1436,2023-06-04
Richmond,MOTOR VEHICLE THEFT,144,153,2023-06-04
Richmond,RAPE,0,4,2023-06-04
Richmond,ROBBERY,66,37,2023-06-04
Richmond,TOTAL,1761,1874,2023-06-04
Southern,ARSON,20,17,2023-06-04
Southern,ASSAULT,157,134,2023-06-04
Southern,BURGLARY,273,310,2023-06-04
Southern,HOMICIDE,3,1,2023-06-04
Southern,HUMAN TRAFFICKING - SEX ACT,1,2,2023-06-04
Southern,LARCENY THEFT,1019,1966,2023-06-04
Southern,MOTOR VEHICLE THEFT,241,250,2023-06-04
Southern,RAPE,15,20,2023-06-04
Southern,ROBBERY,117,106,2023-06-04
Southern,TOTAL,1846,2806,2023-06-04
Taraval,ARSON,6,4,2023-06-04
Taraval,ASSAULT,45,39,2023-06-04
Taraval,BURGLARY,207,212,2023-06-04
Taraval,HOMICIDE,0,2,2023-06-04
Taraval,HUMAN TRAFFICKING - SEX ACT,0,1,2023-06-04
Taraval,LARCENY THEFT,1133,1192,2023-06-04
Taraval,MOTOR VEHICLE THEFT,322,267,2023-06-04
Taraval,RAPE,6,2,2023-06-04
Taraval,ROBBERY,63,53,2023-06-04
Taraval,TOTAL,1782,1772,2023-06-04
Tenderloin,ARSON,10,12,2023-06-04
Tenderloin,ASSAULT,183,177,2023-06-04
Tenderloin,BURGLARY,87,103,2023-06-04
Tenderloin,HOMICIDE,4,3,2023-06-04
Tenderloin,HUMAN TRAFFICKING - SEX ACT,0,2,2023-06-04
Tenderloin,LARCENY THEFT,715,666,2023-06-04
Tenderloin,MOTOR VEHICLE THEFT,97,94,2023-06-04
Tenderloin,RAPE,11,16,2023-06-04
Tenderloin,ROBBERY,148,153,2023-06-04
Tenderloin,TOTAL,1255,1226,2023-06-04
