district,category,ytd2023,ytd2022,updated
Bayview,ARSON,25,30,2023-08-20
Bayview,ASSAULT,185,249,2023-08-20
Bayview,BURGLARY,265,365,2023-08-20
Bayview,HOMICIDE,9,7,2023-08-20
Bayview,HUMAN TRAFFICKING - INV SERV,0,0,2023-08-20
Bayview,HUMAN TRAFFICKING - SEX ACT,0,1,2023-08-20
Bayview,LARCENY THEFT,1015,1020,2023-08-20
Bayview,MOTOR VEHICLE THEFT,788,637,2023-08-20
Bayview,RAPE,6,21,2023-08-20
Bayview,ROBBERY,172,136,2023-08-20
Bayview,TOTAL,2465,2466,2023-08-20
Central,ARSON,22,18,2023-08-20
Central,ASSAULT,131,150,2023-08-20
Central,BURGLARY,494,446,2023-08-20
Central,HOMICIDE,2,0,2023-08-20
Central,HUMAN TRAFFICKING - INV SERV,0,0,2023-08-20
Central,HUMAN TRAFFICKING - SEX ACT,0,2,2023-08-20
Central,LARCENY THEFT,5074,4770,2023-08-20
Central,MOTOR VEHICLE THEFT,297,306,2023-08-20
Central,RAPE,11,21,2023-08-20
Central,ROBBERY,212,213,2023-08-20
Central,TOTAL,6243,5926,2023-08-20
Citywide,ARSON,180,187,2023-08-20
Citywide,ASSAULT,1528,1656,2023-08-20
Citywide,BURGLARY,3606,3839,2023-08-20
Citywide,HOMICIDE,37,31,2023-08-20
Citywide,HUMAN TRAFFICKING - INV SERV,0,1,2023-08-20
Citywide,HUMAN TRAFFICKING - SEX ACT,11,13,2023-08-20
Citywide,LARCENY THEFT,20758,21944,2023-08-20
Citywide,MOTOR VEHICLE THEFT,4362,3902,2023-08-20
Citywide,RAPE,142,174,2023-08-20
Citywide,ROBBERY,1716,1497,2023-08-20
Citywide,TOTAL,32340,33244,2023-08-20
Ingleside,ARSON,17,19,2023-08-20
Ingleside,ASSAULT,154,140,2023-08-20
Ingleside,BURGLARY,406,355,2023-08-20
Ingleside,HOMICIDE,4,6,2023-08-20
Ingleside,HUMAN TRAFFICKING - INV SERV,0,1,2023-08-20
Ingleside,HUMAN TRAFFICKING - SEX ACT,0,0,2023-08-20
Ingleside,LARCENY THEFT,1254,1112,2023-08-20
Ingleside,MOTOR VEHICLE THEFT,737,579,2023-08-20
Ingleside,RAPE,16,16,2023-08-20
