district,category,ytd2022,ytd2021,updated
Bayview,ARSON,36,62,2022-12-04
Bayview,ASSAULT,345,348,2022-12-04
Bayview,BURGLARY,500,491,2022-12-04
Bayview,HOMICIDE,13,14,2022-12-04
Bayview,HUMAN TRAFFICKING - INV SERV,0,1,2022-12-04
Bayview,HUMAN TRAFFICKING - SEX ACT,1,2,2022-12-04
Bayview,LARCENY THEFT,1454,1557,2022-12-04
Bayview,MOTOR VEHICLE THEFT,978,938,2022-12-04
Bayview,RAPE,22,22,2022-12-04
Bayview,ROBBERY,209,205,2022-12-04
Bayview,TOTAL,3558,3640,2022-12-04
Central,ARSON,38,32,2022-12-04
Central,ASSAULT,208,187,2022-12-04
Central,BURGLARY,654,811,2022-12-04
Central,HOMICIDE,1,1,2022-12-04
Central,HUMAN TRAFFICKING - INV SERV,0,0,2022-12-04
Central,HUMAN TRAFFICKING - SEX ACT,2,2,2022-12-04
Central,LARCENY THEFT,7533,7109,2022-12-04
Central,MOTOR VEHICLE THEFT,432,419,2022-12-04
Central,RAPE,26,17,2022-12-04
Central,ROBBERY,315,296,2022-12-04
Central,TOTAL,9209,8874,2022-12-04
Citywide,ARSON,278,310,2022-12-04
Citywide,ASSAULT,2418,2233,2022-12-04
Citywide,BURGLARY,5405,6838,2022-12-04
Citywide,HOMICIDE,51,52,2022-12-04
Citywide,HUMAN TRAFFICKING - INV SERV,1,3,2022-12-04
Citywide,HUMAN TRAFFICKING - SEX ACT,17,31,2022-12-04
Citywide,LARCENY THEFT,32404,29306,2022-12-04
Citywide,MOTOR VEHICLE THEFT,5795,5586,2022-12-04
Citywide,RAPE,219,208,2022-12-04
Citywide,ROBBERY,2221,2100,2022-12-04
Citywide,TOTAL,48809,46667,2022-12-04
Ingleside,ARSON,23,23,2022-12-04
Ingleside,ASSAULT,215,190,2022-12-04
Ingleside,BURGLARY,516,619,2022-12-04
Ingleside,HOMICIDE,8,2,2022-12-04
Ingleside,HUMAN TRAFFICKING - INV SERV,1,1,2022-12-04
Ingleside,HUMAN TRAFFICKING - SEX ACT,1,1,2022-12-04
Ingleside,LARCENY THEFT,1760,1551,2022-12-04
Ingleside,MOTOR VEHICLE THEFT,909,818,2022-12-04
Ingleside,RAPE,18,15,2022-12-04
Ingleside,ROBBERY,223,213,2022-12-04
Ingleside,TOTAL,3674,3433,2022-12-04
Mission,ARSON,38,55,2022-12-04
Mission,ASSAULT,356,357,2022-12-04
Mission,BURGLARY,702,920,2022-12-04
Mission,HOMICIDE,9,9,2022-12-04
Mission,HUMAN TRAFFICKING - INV SERV,0,0,2022-12-04
Mission,HUMAN TRAFFICKING - SEX ACT,2,3,2022-12-04
Mission,LARCENY THEFT,3063,2820,2022-12-04
Mission,MOTOR VEHICLE THEFT,869,825,2022-12-04
Mission,RAPE,29,30,2022-12-04
Mission,ROBBERY,379,328,2022-12-04
Mission,TOTAL,5447,5347,2022-12-04
Northern,ARSON,61,35,2022-12-04
Northern,ASSAULT,277,242,2022-12-04
Northern,BURGLARY,872,1251,2022-12-04
Northern,HOMICIDE,7,6,2022-12-04
Northern,HUMAN TRAFFICKING - INV SERV,0,0,2022-12-04
Northern,HUMAN TRAFFICKING - SEX ACT,1,4,2022-12-04
Northern,LARCENY THEFT,5777,5249,2022-12-04
Northern,MOTOR VEHICLE THEFT,630,624,2022-12-04
Northern,RAPE,32,24,2022-12-04
Northern,ROBBERY,276,307,2022-12-04
Northern,TOTAL,7933,7742,2022-12-04
Park,ARSON,6,9,2022-12-04
Park,ASSAULT,59,63,2022-12-04
Park,BURGLARY,408,453,2022-12-04
Park,HOMICIDE,2,4,2022-12-04
Park,HUMAN TRAFFICKING - INV SERV,0,0,2022-12-04
Park,HUMAN TRAFFICKING - SEX ACT,0,1,2022-12-04
Park,LARCENY THEFT,1571,1659,2022-12-04
Park,MOTOR VEHICLE THEFT,306,277,2022-12-04
Park,RAPE,10,8,2022-12-04
Park,ROBBERY,48,43,2022-12-04
Park,TOTAL,2410,2517,2022-12-04
Richmond,ARSON,6,22,2022-12-04
Richmond,ASSAULT,77,74,2022-12-04
Richmond,BURGLARY,400,605,2022-12-04
Richmond,HOMICIDE,0,0,2022-12-04
Richmond,HUMAN TRAFFICKING - INV SERV,0,0,2022-12-04
Richmond,HUMAN TRAFFICKING - SEX ACT,0,0,2022-12-04
Richmond,LARCENY THEFT,3051,2871,2022-12-04
Richmond,MOTOR VEHICLE THEFT,327,354,2022-12-04
Richmond,RAPE,8,9,2022-12-04
Richmond,ROBBERY,77,106,2022-12-04
Richmond,TOTAL,3946,4041,2022-12-04
Southern,ARSON,37,38,2022-12-04
Southern,ASSAULT,318,256,2022-12-04
Southern,BURGLARY,681,814,2022-12-04
Southern,HOMICIDE,2,5,2022-12-04
Southern,HUMAN TRAFFICKING - INV SERV,0,0,2022-12-04
Southern,HUMAN TRAFFICKING - SEX ACT,2,4,2022-12-04
Southern,LARCENY THEFT,3621,3135,2022-12-04
Southern,MOTOR VEHICLE THEFT,541,513,2022-12-04
Southern,RAPE,33,29,2022-12-04
Southern,ROBBERY,256,209,2022-12-04
Southern,TOTAL,5491,5003,2022-12-04
Taraval,ARSON,10,15,2022-12-04
Taraval,ASSAULT,96,97,2022-12-04
Taraval,BURGLARY,489,579,2022-12-04
Taraval,HOMICIDE,2,0,2022-12-04
Taraval,HUMAN TRAFFICKING - INV SERV,0,0,2022-12-04
Taraval,HUMAN TRAFFICKING - SEX ACT,1,3,2022-12-04
Taraval,LARCENY THEFT,2611,1996,2022-12-04
Taraval,MOTOR VEHICLE THEFT,592,567,2022-12-04
Taraval,RAPE,7,13,2022-12-04
Taraval,ROBBERY,121,118,2022-12-04
Taraval,TOTAL,3929,3388,2022-12-04
Tenderloin,ARSON,23,19,2022-12-04
Tenderloin,ASSAULT,458,408,2022-12-04
Tenderloin,BURGLARY,183,290,2022-12-04
Tenderloin,HOMICIDE,7,11,2022-12-04
Tenderloin,HUMAN TRAFFICKING - INV SERV,0,0,2022-12-04
Tenderloin,HUMAN TRAFFICKING - SEX ACT,3,5,2022-12-04
Tenderloin,LARCENY THEFT,1606,1150,2022-12-04
Tenderloin,MOTOR VEHICLE THEFT,190,229,2022-12-04
Tenderloin,RAPE,30,26,2022-12-04
Tenderloin,ROBBERY,316,267,2022-12-04
Tenderloin,TOTAL,2816,2405,2022-12-04
