district,category,ytd2022,ytd2021,updated
Bayview,ARSON,2,2,2023-01-22
Bayview,ASSAULT,21,9,2023-01-22
Bayview,BURGLARY,32,50,2023-01-22
Bayview,HOMICIDE,0,0,2023-01-22
Bayview,HUMAN TRAFFICKING - SEX ACT,0,1,2023-01-22
Bayview,LARCENY THEFT,61,94,2023-01-22
Bayview,MOTOR VEHICLE THEFT,59,64,2023-01-22
Bayview,RAPE,0,2,2023-01-22
Bayview,ROBBERY,20,9,2023-01-22
Bayview,TOTAL,195,231,2023-01-22
Central,ARSON,0,1,2023-01-22
Central,ASSAULT,16,13,2023-01-22
Central,BURGLARY,40,41,2023-01-22
Central,HOMICIDE,0,0,2023-01-22
Central,HUMAN TRAFFICKING - SEX ACT,0,0,2023-01-22
Central,LARCENY THEFT,445,341,2023-01-22
Central,MOTOR VEHICLE THEFT,16,36,2023-01-22
Central,RAPE,0,1,2023-01-22
Central,ROBBERY,13,20,2023-01-22
Central,TOTAL,530,453,2023-01-22
Citywide,ARSON,18,23,2023-01-22
Citywide,ASSAULT,138,138,2023-01-22
Citywide,BURGLARY,284,381,2023-01-22
Citywide,HOMICIDE,3,3,2023-01-22
Citywide,HUMAN TRAFFICKING - SEX ACT,1,2,2023-01-22
Citywide,LARCENY THEFT,1493,1923,2023-01-22
Citywide,MOTOR VEHICLE THEFT,283,402,2023-01-22
Citywide,RAPE,5,10,2023-01-22
Citywide,ROBBERY,144,125,2023-01-22
Citywide,TOTAL,2369,3007,2023-01-22
Ingleside,ARSON,4,0,2023-01-22
Ingleside,ASSAULT,11,14,2023-01-22
Ingleside,BURGLARY,22,33,2023-01-22
Ingleside,HOMICIDE,1,1,2023-01-22
Ingleside,HUMAN TRAFFICKING - SEX ACT,0,0,2023-01-22
Ingleside,LARCENY THEFT,43,83,2023-01-22
Ingleside,MOTOR VEHICLE THEFT,54,68,2023-01-22
Ingleside,RAPE,2,0,2023-01-22
Ingleside,ROBBERY,18,7,2023-01-22
Ingleside,TOTAL,155,206,2023-01-22
Mission,ARSON,0,2,2023-01-22
Mission,ASSAULT,26,22,2023-01-22
Mission,BURGLARY,38,52,2023-01-22
Mission,HOMICIDE,1,1,2023-01-22
Mission,HUMAN TRAFFICKING - SEX ACT,1,0,2023-01-22
Mission,LARCENY THEFT,152,252,2023-01-22
Mission,MOTOR VEHICLE THEFT,43,70,2023-01-22
Mission,RAPE,2,0,2023-01-22
Mission,ROBBERY,13,23,2023-01-22
Mission,TOTAL,276,422,2023-01-22
Northern,ARSON,2,7,2023-01-22
Northern,ASSAULT,18,20,2023-01-22
Northern,BURGLARY,64,49,2023-01-22
Northern,HOMICIDE,1,0,2023-01-22
Northern,HUMAN TRAFFICKING - SEX ACT,0,0,2023-01-22
Northern,LARCENY THEFT,280,351,2023-01-22
Northern,MOTOR VEHICLE THEFT,24,40,2023-01-22
Northern,RAPE,0,0,2023-01-22
Northern,ROBBERY,16,15,2023-01-22
Northern,TOTAL,405,482,2023-01-22
Park,ARSON,0,3,2023-01-22
Park,ASSAULT,2,3,2023-01-22
Park,BURGLARY,15,35,2023-01-22
Park,HOMICIDE,0,0,2023-01-22
Park,HUMAN TRAFFICKING - SEX ACT,0,0,2023-01-22
Park,LARCENY THEFT,68,85,2023-01-22
Park,MOTOR VEHICLE THEFT,11,21,2023-01-22
Park,RAPE,0,1,2023-01-22
Park,ROBBERY,5,5,2023-01-22
Park,TOTAL,101,153,2023-01-22
Richmond,ARSON,2,0,2023-01-22
Richmond,ASSAULT,5,5,2023-01-22
Richmond,BURGLARY,16,25,2023-01-22
Richmond,HOMICIDE,0,0,2023-01-22
Richmond,HUMAN TRAFFICKING - SEX ACT,0,0,2023-01-22
Richmond,LARCENY THEFT,154,191,2023-01-22
Richmond,MOTOR VEHICLE THEFT,18,16,2023-01-22
Richmond,RAPE,0,0,2023-01-22
Richmond,ROBBERY,12,5,2023-01-22
Richmond,TOTAL,207,242,2023-01-22
Southern,ARSON,3,7,2023-01-22
Southern,ASSAULT,15,19,2023-01-22
Southern,BURGLARY,25,50,2023-01-22
Southern,HOMICIDE,0,1,2023-01-22
Southern,HUMAN TRAFFICKING - SEX ACT,0,1,2023-01-22
Southern,LARCENY THEFT,115,252,2023-01-22
Southern,MOTOR VEHICLE THEFT,23,25,2023-01-22
Southern,RAPE,1,1,2023-01-22
Southern,ROBBERY,16,18,2023-01-22
Southern,TOTAL,198,374,2023-01-22
Taraval,ARSON,3,0,2023-01-22
Taraval,ASSAULT,3,7,2023-01-22
Taraval,BURGLARY,20,25,2023-01-22
Taraval,HOMICIDE,0,0,2023-01-22
Taraval,HUMAN TRAFFICKING - SEX ACT,0,0,2023-01-22
Taraval,LARCENY THEFT,96,171,2023-01-22
Taraval,MOTOR VEHICLE THEFT,24,49,2023-01-22
Taraval,RAPE,0,1,2023-01-22
Taraval,ROBBERY,7,3,2023-01-22
Taraval,TOTAL,153,256,2023-01-22
Tenderloin,ARSON,2,1,2023-01-22
Tenderloin,ASSAULT,21,26,2023-01-22
Tenderloin,BURGLARY,12,21,2023-01-22
Tenderloin,HOMICIDE,0,0,2023-01-22
Tenderloin,HUMAN TRAFFICKING - SEX ACT,0,0,2023-01-22
Tenderloin,LARCENY THEFT,68,83,2023-01-22
Tenderloin,MOTOR VEHICLE THEFT,10,13,2023-01-22
Tenderloin,RAPE,0,4,2023-01-22
Tenderloin,ROBBERY,23,20,2023-01-22
Tenderloin,TOTAL,136,168,2023-01-22
