district,category,ytd2023,ytd2022,updated
Bayview,ARSON,10,7,2023-03-05
Bayview,ASSAULT,53,52,2023-03-05
Bayview,BURGLARY,70,109,2023-03-05
Bayview,HOMICIDE,3,0,2023-03-05
Bayview,HUMAN TRAFFICKING - SEX ACT,0,1,2023-03-05
Bayview,LARCENY THEFT,256,269,2023-03-05
Bayview,MOTOR VEHICLE THEFT,209,198,2023-03-05
Bayview,RAPE,1,8,2023-03-05
Bayview,ROBBERY,61,37,2023-03-05
Bayview,TOTAL,663,681,2023-03-05
Central,ARSON,10,3,2023-03-05
Central,ASSAULT,41,37,2023-03-05
Central,BURGLARY,137,122,2023-03-05
Central,HOMICIDE,1,0,2023-03-05
Central,HUMAN TRAFFICKING - SEX ACT,0,0,2023-03-05
Central,LARCENY THEFT,1374,1204,2023-03-05
Central,MOTOR VEHICLE THEFT,44,97,2023-03-05
Central,RAPE,2,6,2023-03-05
Central,ROBBERY,54,59,2023-03-05
Central,TOTAL,1663,1528,2023-03-05
Citywide,ARSON,59,54,2023-03-05
Citywide,ASSAULT,396,404,2023-03-05
Citywide,BURGLARY,954,1056,2023-03-05
Citywide,HOMICIDE,8,8,2023-03-05
Citywide,HUMAN TRAFFICKING - SEX ACT,2,4,2023-03-05
Citywide,LARCENY THEFT,4958,5863,2023-03-05
Citywide,MOTOR VEHICLE THEFT,1017,1227,2023-03-05
Citywide,RAPE,34,49,2023-03-05
Citywide,ROBBERY,472,399,2023-03-05
Citywide,TOTAL,7900,9064,2023-03-05
Ingleside,ARSON,7,2,2023-03-05
Ingleside,ASSAULT,37,39,2023-03-05
Ingleside,BURGLARY,103,81,2023-03-05
Ingleside,HOMICIDE,1,1,2023-03-05
Ingleside,HUMAN TRAFFICKING - SEX ACT,0,0,2023-03-05
Ingleside,LARCENY THEFT,231,263,2023-03-05
Ingleside,MOTOR VEHICLE THEFT,173,191,2023-03-05
Ingleside,RAPE,8,3,2023-03-05
Ingleside,ROBBERY,45,29,2023-03-05
Ingleside,TOTAL,605,609,2023-03-05
Mission,ARSON,6,4,2023-03-05
Mission,ASSAULT,63,59,2023-03-05
Mission,BURGLARY,116,139,2023-03-05
Mission,HOMICIDE,1,4,2023-03-05
Mission,HUMAN TRAFFICKING - SEX ACT,1,0,2023-03-05
Mission,LARCENY THEFT,469,660,2023-03-05
Mission,MOTOR VEHICLE THEFT,139,190,2023-03-05
Mission,RAPE,4,4,2023-03-05
Mission,ROBBERY,73,77,2023-03-05
Mission,TOTAL,872,1137,2023-03-05
Northern,ARSON,6,15,2023-03-05
Northern,ASSAULT,39,56,2023-03-05
Northern,BURGLARY,201,165,2023-03-05
Northern,HOMICIDE,1,0,2023-03-05
Northern,HUMAN TRAFFICKING - SEX ACT,0,0,2023-03-05
Northern,LARCENY THEFT,893,1057,2023-03-05
Northern,MOTOR VEHICLE THEFT,99,139,2023-03-05
Northern,RAPE,1,10,2023-03-05
Northern,ROBBERY,63,49,2023-03-05
Northern,TOTAL,1303,1491,2023-03-05
Park,ARSON,1,3,2023-03-05
Park,ASSAULT,10,9,2023-03-05
Park,BURGLARY,47,81,2023-03-05
Park,HOMICIDE,0,0,2023-03-05
Park,HUMAN TRAFFICKING - SEX ACT,0,0,2023-03-05
Park,LARCENY THEFT,216,242,2023-03-05
Park,MOTOR VEHICLE THEFT,50,64,2023-03-05
Park,RAPE,3,3,2023-03-05
Park,ROBBERY,11,11,2023-03-05
Park,TOTAL,338,413,2023-03-05
Richmond,ARSON,5,1,2023-03-05
Richmond,ASSAULT,11,17,2023-03-05
Richmond,BURGLARY,61,88,2023-03-05
Richmond,HOMICIDE,0,0,2023-03-05
Richmond,HUMAN TRAFFICKING - SEX ACT,0,0,2023-03-05
Richmond,LARCENY THEFT,477,538,2023-03-05
Richmond,MOTOR VEHICLE THEFT,48,72,2023-03-05
Richmond,RAPE,0,1,2023-03-05
Richmond,ROBBERY,30,11,2023-03-05
Richmond,TOTAL,632,728,2023-03-05
Southern,ARSON,6,11,2023-03-05
Southern,ASSAULT,56,50,2023-03-05
Southern,BURGLARY,115,140,2023-03-05
Southern,HOMICIDE,0,1,2023-03-05
Southern,HUMAN TRAFFICKING - SEX ACT,1,2,2023-03-05
Southern,LARCENY THEFT,400,841,2023-03-05
Southern,MOTOR VEHICLE THEFT,85,118,2023-03-05
Southern,RAPE,6,4,2023-03-05
Southern,ROBBERY,55,50,2023-03-05
Southern,TOTAL,724,1217,2023-03-05
Taraval,ARSON,3,2,2023-03-05
Taraval,ASSAULT,16,16,2023-03-05
Taraval,BURGLARY,73,80,2023-03-05
Taraval,HOMICIDE,0,1,2023-03-05
Taraval,HUMAN TRAFFICKING - SEX ACT,0,0,2023-03-05
Taraval,LARCENY THEFT,342,522,2023-03-05
Taraval,MOTOR VEHICLE THEFT,126,119,2023-03-05
Taraval,RAPE,2,1,2023-03-05
Taraval,ROBBERY,26,19,2023-03-05
Taraval,TOTAL,588,760,2023-03-05
Tenderloin,ARSON,4,6,2023-03-05
Tenderloin,ASSAULT,70,67,2023-03-05
Tenderloin,BURGLARY,30,51,2023-03-05
Tenderloin,HOMICIDE,1,1,2023-03-05
Tenderloin,HUMAN TRAFFICKING - SEX ACT,0,0,2023-03-05
Tenderloin,LARCENY THEFT,266,219,2023-03-05
Tenderloin,MOTOR VEHICLE THEFT,40,32,2023-03-05
Tenderloin,RAPE,7,8,2023-03-05
Tenderloin,ROBBERY,53,56,2023-03-05
Tenderloin,TOTAL,471,440,2023-03-05
