district,category,ytd2023,ytd2022,updated
Bayview,ARSON,21,27,2023-07-09
Bayview,ASSAULT,157,195,2023-07-09
Bayview,BURGLARY,215,293,2023-07-09
Bayview,HOMICIDE,8,5,2023-07-09
Bayview,HUMAN TRAFFICKING - SEX ACT,0,1,2023-07-09
Bayview,LARCENY THEFT,854,830,2023-07-09
Bayview,MOTOR VEHICLE THEFT,650,0,2023-07-09
Bayview,RAPE,2,17,2023-07-09
Bayview,ROBBERY,151,114,2023-07-09
Bayview,TOTAL,2058,1997,2023-07-09
Central,ARSON,20,12,2023-07-09
Central,ASSAULT,107,121,2023-07-09
Central,BURGLARY,405,368,2023-07-09
Central,HOMICIDE,2,0,2023-07-09
Central,HUMAN TRAFFICKING - SEX ACT,0,1,2023-07-09
Central,LARCENY THEFT,3984,3771,2023-07-09
Central,MOTOR VEHICLE THEFT,216,264,2023-07-09
Central,RAPE,10,15,2023-07-09
Central,ROBBERY,163,170,2023-07-09
Central,TOTAL,4907,4722,2023-07-09
Citywide,ARSON,155,149,2023-07-09
Citywide,ASSAULT,1262,1326,2023-07-09
Citywide,BURGLARY,2881,3133,2023-07-09
Citywide,HOMICIDE,28,26,2023-07-09
Citywide,HUMAN TRAFFICKING - SEX ACT,7,12,2023-07-09
Citywide,LARCENY THEFT,16294,17867,2023-07-09
Citywide,MOTOR VEHICLE THEFT,3464,3215,2023-07-09
Citywide,RAPE,108,142,2023-07-09
Citywide,ROBBERY,1370,1221,2023-07-09
Citywide,TOTAL,25569,27091,2023-07-09
Ingleside,ARSON,14,14,2023-07-09
Ingleside,ASSAULT,128,112,2023-07-09
Ingleside,BURGLARY,301,291,2023-07-09
Ingleside,HOMICIDE,2,3,2023-07-09
Ingleside,HUMAN TRAFFICKING - SEX ACT,0,0,2023-07-09
Ingleside,LARCENY THEFT,1064,867,2023-07-09
Ingleside,MOTOR VEHICLE THEFT,584,482,2023-07-09
Ingleside,RAPE,15,15,2023-07-09
Ingleside,ROBBERY,154,97,2023-07-09
Ingleside,TOTAL,2262,1881,2023-07-09
Mission,ARSON,16,14,2023-07-09
Mission,ASSAULT,199,203,2023-07-09
Mission,BURGLARY,333,441,2023-07-09
Mission,HOMICIDE,1,8,2023-07-09
Mission,HUMAN TRAFFICKING - SEX ACT,5,1,2023-07-09
Mission,LARCENY THEFT,1397,1746,2023-07-09
Mission,MOTOR VEHICLE THEFT,469,487,2023-07-09
Mission,RAPE,21,14,2023-07-09
Mission,ROBBERY,191,212,2023-07-09
Mission,TOTAL,2632,3126,2023-07-09
Northern,ARSON,25,32,2023-07-09
Northern,ASSAULT,136,156,2023-07-09
Northern,BURGLARY,509,469,2023-07-09
Northern,HOMICIDE,3,3,2023-07-09
Northern,HUMAN TRAFFICKING - SEX ACT,0,1,2023-07-09
Northern,LARCENY THEFT,2708,3156,2023-07-09
Northern,MOTOR VEHICLE THEFT,390,360,2023-07-09
Northern,RAPE,12,17,2023-07-09
Northern,ROBBERY,171,146,2023-07-09
Northern,TOTAL,3954,4340,2023-07-09
Park,ARSON,3,5,2023-07-09
Park,ASSAULT,39,33,2023-07-09
Park,BURGLARY,185,253,2023-07-09
Park,HOMICIDE,1,1,2023-07-09
Park,HUMAN TRAFFICKING - SEX ACT,0,0,2023-07-09
Park,LARCENY THEFT,750,799,2023-07-09
Park,MOTOR VEHICLE THEFT,172,165,2023-07-09
Park,RAPE,5,8,2023-07-09
Park,ROBBERY,36,29,2023-07-09
Park,TOTAL,1191,1293,2023-07-09
Richmond,ARSON,9,3,2023-07-09
Richmond,ASSAULT,32,35,2023-07-09
Richmond,BURGLARY,204,254,2023-07-09
Richmond,HOMICIDE,2,0,2023-07-09
Richmond,HUMAN TRAFFICKING - SEX ACT,0,0,2023-07-09
Richmond,LARCENY THEFT,1694,1754,2023-07-09
Richmond,MOTOR VEHICLE THEFT,169,185,2023-07-09
Richmond,RAPE,1,5,2023-07-09
Richmond,ROBBERY,74,44,2023-07-09
Richmond,TOTAL,2185,2280,2023-07-09
Southern,ARSON,28,22,2023-07-09
Southern,ASSAULT,183,171,2023-07-09
Southern,BURGLARY,322,376,2023-07-09
Southern,HOMICIDE,3,1,2023-07-09
Southern,HUMAN TRAFFICKING - SEX ACT,2,2,2023-07-09
Southern,LARCENY THEFT,1384,2338,2023-07-09
Southern,MOTOR VEHICLE THEFT,298,312,2023-07-09
Southern,RAPE,17,26,2023-07-09
Southern,ROBBERY,153,144,2023-07-09
Southern,TOTAL,2390,3392,2023-07-09
Taraval,ARSON,8,6,2023-07-09
Taraval,ASSAULT,52,50,2023-07-09
Taraval,BURGLARY,272,266,2023-07-09
Taraval,HOMICIDE,0,2,2023-07-09
Taraval,HUMAN TRAFFICKING - SEX ACT,0,1,2023-07-09
Taraval,LARCENY THEFT,1359,1490,2023-07-09
Taraval,MOTOR VEHICLE THEFT,373,320,2023-07-09
Taraval,RAPE,7,3,2023-07-09
Taraval,ROBBERY,76,73,2023-07-09
Taraval,TOTAL,2147,2211,2023-07-09
Tenderloin,ARSON,10,14,2023-07-09
Tenderloin,ASSAULT,226,243,2023-07-09
Tenderloin,BURGLARY,133,121,2023-07-09
Tenderloin,HOMICIDE,6,3,2023-07-09
Tenderloin,HUMAN TRAFFICKING - SEX ACT,0,3,2023-07-09
Tenderloin,LARCENY THEFT,884,921,2023-07-09
Tenderloin,MOTOR VEHICLE THEFT,128,111,2023-07-09
Tenderloin,RAPE,12,19,2023-07-09
Tenderloin,ROBBERY,200,191,2023-07-09
Tenderloin,TOTAL,1599,1626,2023-07-09
