district,crime,total22,total21,update
Bayview,ARSON,31,58,2022-10-23
Bayview,ASSAULT,313,312,2022-10-23
Bayview,BURGLARY,444,420,2022-10-23
Bayview,HOMICIDE,12,12,2022-10-23
Bayview,HUMAN TRAFFICKING - INV SERV,0,1,2022-10-23
Bayview,HUMAN TRAFFICKING - SEX ACT,1,2,2022-10-23
Bayview,LARCENY THEFT,1286,1388,2022-10-23
Bayview,MOTOR VEHICLE THEFT,832,807,2022-10-23
Bayview,RAPE,22,20,2022-10-23
Bayview,ROBBERY,173,181,2022-10-23
Bayview,TOTAL,3114,3201,2022-10-23
Central,ARSON,35,31,2022-10-23
Central,ASSAULT,185,157,2022-10-23
Central,BURGLARY,562,711,2022-10-23
Central,HOMICIDE,0,0,2022-10-23
Central,HUMAN TRAFFICKING - INV SERV,0,0,2022-10-23
Central,HUMAN TRAFFICKING - SEX ACT,2,2,2022-10-23
Central,LARCENY THEFT,6498,5973,2022-10-23
Central,MOTOR VEHICLE THEFT,384,369,2022-10-23
Central,RAPE,23,14,2022-10-23
Central,ROBBERY,281,261,2022-10-23
Central,TOTAL,7970,7518,2022-10-23
Citywide,ARSON,248,281,2022-10-23
Citywide,ASSAULT,2149,1934,2022-10-23
Citywide,BURGLARY,4771,6064,2022-10-23
Citywide,HOMICIDE,43,44,2022-10-23
Citywide,HUMAN TRAFFICKING - INV SERV,1,3,2022-10-23
Citywide,HUMAN TRAFFICKING - SEX ACT,13,29,2022-10-23
Citywide,LARCENY THEFT,28199,24459,2022-10-23
Citywide,MOTOR VEHICLE THEFT,5006,4811,2022-10-23
Citywide,RAPE,199,184,2022-10-23
Citywide,ROBBERY,1945,1849,2022-10-23
Citywide,TOTAL,42574,39658,2022-10-23
Ingleside,ARSON,20,18,2022-10-23
Ingleside,ASSAULT,182,166,2022-10-23
Ingleside,BURGLARY,467,552,2022-10-23
Ingleside,HOMICIDE,6,1,2022-10-23
Ingleside,HUMAN TRAFFICKING - INV SERV,1,1,2022-10-23
Ingleside,HUMAN TRAFFICKING - SEX ACT,0,1,2022-10-23
Ingleside,LARCENY THEFT,1426,1368,2022-10-23
Ingleside,MOTOR VEHICLE THEFT,769,701,2022-10-23
Ingleside,RAPE,17,13,2022-10-23
Ingleside,ROBBERY,189,188,2022-10-23
Ingleside,TOTAL,3077,3009,2022-10-23
Mission,ARSON,33,0,2022-10-23
Mission,ASSAULT,315,306,2022-10-23
Mission,BURGLARY,640,812,2022-10-23
Mission,HOMICIDE,8,8,2022-10-23
