district,category,ytd2023,ytd2022,updated
Bayview,ARSON,14,15,2023-04-30
Bayview,ASSAULT,95,116,2023-04-30
Bayview,BURGLARY,147,192,2023-04-30
Bayview,HOMICIDE,4,1,2023-04-30
Bayview,HUMAN TRAFFICKING - SEX ACT,0,1,2023-04-30
Bayview,LARCENY THEFT,504,511,2023-04-30
Bayview,MOTOR VEHICLE THEFT,405,333,2023-04-30
Bayview,RAPE,1,10,2023-04-30
Bayview,ROBBERY,101,75,2023-04-30
Bayview,TOTAL,1271,1254,2023-04-30
Central,ARSON,14,7,2023-04-30
Central,ASSAULT,66,67,2023-04-30
Central,BURGLARY,253,230,2023-04-30
Central,HOMICIDE,2,0,2023-04-30
Central,HUMAN TRAFFICKING - SEX ACT,0,1,2023-04-30
Central,LARCENY THEFT,2599,2318,2023-04-30
Central,MOTOR VEHICLE THEFT,100,177,2023-04-30
Central,RAPE,4,8,2023-04-30
Central,ROBBERY,106,101,2023-04-30
Central,TOTAL,3144,2909,2023-04-30
Citywide,ARSON,101,94,2023-04-30
Citywide,ASSAULT,778,780,2023-04-30
Citywide,BURGLARY,1788,1986,2023-04-30
Citywide,HOMICIDE,17,15,2023-04-30
Citywide,HUMAN TRAFFICKING - SEX ACT,4,8,2023-04-30
Citywide,LARCENY THEFT,10059,11205,2023-04-30
Citywide,MOTOR VEHICLE THEFT,2069,2089,2023-04-30
Citywide,RAPE,67,89,2023-04-30
Citywide,ROBBERY,841,754,2023-04-30
Citywide,TOTAL,15724,17020,2023-04-30
Ingleside,ARSON,10,7,2023-04-30
Ingleside,ASSAULT,78,65,2023-04-30
Ingleside,BURGLARY,183,183,2023-04-30
Ingleside,HOMICIDE,2,3,2023-04-30
Ingleside,HUMAN TRAFFICKING - SEX ACT,0,0,2023-04-30
Ingleside,LARCENY THEFT,506,551,2023-04-30
Ingleside,MOTOR VEHICLE THEFT,361,304,2023-04-30
Ingleside,RAPE,13,8,2023-04-30
Ingleside,ROBBERY,91,59,2023-04-30
Ingleside,TOTAL,1244,1180,2023-04-30
Mission,ARSON,13,8,2023-04-30
Mission,ASSAULT,125,124,2023-04-30
Mission,BURGLARY,219,276,2023-04-30
Mission,HOMICIDE,1,5,2023-04-30
Mission,HUMAN TRAFFICKING - SEX ACT,3,0,2023-04-30
Mission,LARCENY THEFT,866,1151,2023-04-30
Mission,MOTOR VEHICLE THEFT,270,323,2023-04-30
Mission,RAPE,9,9,2023-04-30
Mission,ROBBERY,128,135,2023-04-30
Mission,TOTAL,1634,2031,2023-04-30
Northern,ARSON,15,22,2023-04-30
Northern,ASSAULT,80,99,2023-04-30
Northern,BURGLARY,320,310,2023-04-30
Northern,HOMICIDE,1,1,2023-04-30
Northern,HUMAN TRAFFICKING - SEX ACT,0,1,2023-04-30
Northern,LARCENY THEFT,1750,1961,2023-04-30
Northern,MOTOR VEHICLE THEFT,230,244,2023-04-30
Northern,RAPE,6,13,2023-04-30
Northern,ROBBERY,106,93,2023-04-30
Northern,TOTAL,2508,2744,2023-04-30
Park,ARSON,2,4,2023-04-30
Park,ASSAULT,26,17,2023-04-30
Park,BURGLARY,89,147,2023-04-30
Park,HOMICIDE,0,0,2023-04-30
Park,HUMAN TRAFFICKING - SEX ACT,0,0,2023-04-30
Park,LARCENY THEFT,473,493,2023-04-30
Park,MOTOR VEHICLE THEFT,107,104,2023-04-30
Park,RAPE,5,6,2023-04-30
Park,ROBBERY,19,20,2023-04-30
Park,TOTAL,721,791,2023-04-30
Richmond,ARSON,7,3,2023-04-30
Richmond,ASSAULT,22,23,2023-04-30
Richmond,BURGLARY,129,159,2023-04-30
Richmond,HOMICIDE,1,0,2023-04-30
Richmond,HUMAN TRAFFICKING - SEX ACT,0,0,2023-04-30
Richmond,LARCENY THEFT,1045,1116,2023-04-30
Richmond,MOTOR VEHICLE THEFT,105,120,2023-04-30
Richmond,RAPE,0,3,2023-04-30
Richmond,ROBBERY,44,29,2023-04-30
Richmond,TOTAL,1353,1453,2023-04-30
Southern,ARSON,14,15,2023-04-30
Southern,ASSAULT,115,105,2023-04-30
Southern,BURGLARY,215,251,2023-04-30
Southern,HOMICIDE,2,1,2023-04-30
Southern,HUMAN TRAFFICKING - SEX ACT,1,2,2023-04-30
Southern,LARCENY THEFT,751,1593,2023-04-30
Southern,MOTOR VEHICLE THEFT,162,191,2023-04-30
Southern,RAPE,12,14,2023-04-30
Southern,ROBBERY,95,85,2023-04-30
Southern,TOTAL,1367,2257,2023-04-30
Taraval,ARSON,5,4,2023-04-30
Taraval,ASSAULT,38,33,2023-04-30
Taraval,BURGLARY,158,151,2023-04-30
Taraval,HOMICIDE,0,2,2023-04-30
Taraval,HUMAN TRAFFICKING - SEX ACT,0,1,2023-04-30
Taraval,LARCENY THEFT,884,939,2023-04-30
Taraval,MOTOR VEHICLE THEFT,253,217,2023-04-30
Taraval,RAPE,4,2,2023-04-30
Taraval,ROBBERY,41,42,2023-04-30
Taraval,TOTAL,1383,1391,2023-04-30
Tenderloin,ARSON,6,9,2023-04-30
Tenderloin,ASSAULT,132,126,2023-04-30
Tenderloin,BURGLARY,74,87,2023-04-30
Tenderloin,HOMICIDE,4,2,2023-04-30
Tenderloin,HUMAN TRAFFICKING - SEX ACT,0,1,2023-04-30
Tenderloin,LARCENY THEFT,567,465,2023-04-30
Tenderloin,MOTOR VEHICLE THEFT,66,64,2023-04-30
Tenderloin,RAPE,9,13,2023-04-30
Tenderloin,ROBBERY,109,114,2023-04-30
Tenderloin,TOTAL,967,881,2023-04-30
