district,category,ytd2023,ytd2022,updated
Bayview,ARSON,22,28,2023-07-16
Bayview,ASSAULT,161,202,2023-07-16
Bayview,BURGLARY,222,302,2023-07-16
Bayview,HOMICIDE,8,5,2023-07-16
Bayview,HUMAN TRAFFICKING - SEX ACT,0,1,2023-07-16
Bayview,LARCENY THEFT,868,872,2023-07-16
Bayview,MOTOR VEHICLE THEFT,674,531,2023-07-16
Bayview,RAPE,3,19,2023-07-16
Bayview,ROBBERY,157,116,2023-07-16
Bayview,TOTAL,2115,2076,2023-07-16
Central,ARSON,20,13,2023-07-16
Central,ASSAULT,109,122,2023-07-16
Central,BURGLARY,424,383,2023-07-16
Central,HOMICIDE,2,0,2023-07-16
Central,HUMAN TRAFFICKING - SEX ACT,0,1,2023-07-16
Central,LARCENY THEFT,4076,3956,2023-07-16
Central,MOTOR VEHICLE THEFT,234,267,2023-07-16
Central,RAPE,10,15,2023-07-16
Central,ROBBERY,168,176,2023-07-16
Central,TOTAL,5043,4933,2023-07-16
Citywide,ARSON,162,155,2023-07-16
Citywide,ASSAULT,1306,1375,2023-07-16
Citywide,BURGLARY,3001,3251,2023-07-16
Citywide,HOMICIDE,29,26,2023-07-16
Citywide,HUMAN TRAFFICKING - SEX ACT,7,12,2023-07-16
Citywide,LARCENY THEFT,16856,18612,2023-07-16
Citywide,MOTOR VEHICLE THEFT,3617,3329,2023-07-16
Citywide,RAPE,111,145,2023-07-16
Citywide,ROBBERY,1416,1259,2023-07-16
Citywide,TOTAL,26505,28164,2023-07-16
Ingleside,ARSON,14,15,2023-07-16
Ingleside,ASSAULT,133,114,2023-07-16
Ingleside,BURGLARY,319,303,2023-07-16
Ingleside,HOMICIDE,3,3,2023-07-16
Ingleside,HUMAN TRAFFICKING - SEX ACT,0,0,2023-07-16
Ingleside,LARCENY THEFT,1095,901,2023-07-16
Ingleside,MOTOR VEHICLE THEFT,605,503,2023-07-16
Ingleside,RAPE,15,15,2023-07-16
Ingleside,ROBBERY,159,103,2023-07-16
Ingleside,TOTAL,2343,1957,2023-07-16
Mission,ARSON,17,15,2023-07-16
Mission,ASSAULT,206,210,2023-07-16
Mission,BURGLARY,350,452,2023-07-16
Mission,HOMICIDE,1,8,2023-07-16
Mission,HUMAN TRAFFICKING - SEX ACT,5,1,2023-07-16
Mission,LARCENY THEFT,1437,1809,2023-07-16
Mission,MOTOR VEHICLE THEFT,490,504,2023-07-16
Mission,RAPE,21,14,2023-07-16
Mission,ROBBERY,201,216,2023-07-16
Mission,TOTAL,2728,3229,2023-07-16
Northern,ARSON,26,34,2023-07-16
Northern,ASSAULT,139,163,2023-07-16
Northern,BURGLARY,524,492,2023-07-16
Northern,HOMICIDE,3,3,2023-07-16
Northern,HUMAN TRAFFICKING - SEX ACT,0,1,2023-07-16
Northern,LARCENY THEFT,2776,3281,2023-07-16
Northern,MOTOR VEHICLE THEFT,400,374,2023-07-16
Northern,RAPE,13,17,2023-07-16
Northern,ROBBERY,180,150,2023-07-16
Northern,TOTAL,4061,4515,2023-07-16
Park,ARSON,4,5,2023-07-16
Park,ASSAULT,40,34,2023-07-16
Park,BURGLARY,196,262,2023-07-16
Park,HOMICIDE,1,1,2023-07-16
Park,HUMAN TRAFFICKING - SEX ACT,0,0,2023-07-16
Park,LARCENY THEFT,822,838,2023-07-16
Park,MOTOR VEHICLE THEFT,182,171,2023-07-16
Park,RAPE,5,8,2023-07-16
Park,ROBBERY,37,29,2023-07-16
Park,TOTAL,1287,1348,2023-07-16
Richmond,ARSON,9,3,2023-07-16
Richmond,ASSAULT,33,35,2023-07-16
Richmond,BURGLARY,218,260,2023-07-16
Richmond,HOMICIDE,2,0,2023-07-16
Richmond,HUMAN TRAFFICKING - SEX ACT,0,0,2023-07-16
Richmond,LARCENY THEFT,1755,1838,2023-07-16
Richmond,MOTOR VEHICLE THEFT,177,196,2023-07-16
Richmond,RAPE,1,6,2023-07-16
Richmond,ROBBERY,74,48,2023-07-16
Richmond,TOTAL,2269,2386,2023-07-16
Southern,ARSON,29,22,2023-07-16
Southern,ASSAULT,193,179,2023-07-16
Southern,BURGLARY,331,392,2023-07-16
Southern,HOMICIDE,3,1,2023-07-16
Southern,HUMAN TRAFFICKING - SEX ACT,2,2,2023-07-16
Southern,LARCENY THEFT,1447,2409,2023-07-16
Southern,MOTOR VEHICLE THEFT,315,319,2023-07-16
Southern,RAPE,17,26,2023-07-16
Southern,ROBBERY,155,149,2023-07-16
Southern,TOTAL,2492,3499,2023-07-16
Taraval,ARSON,8,6,2023-07-16
Taraval,ASSAULT,56,52,2023-07-16
Taraval,BURGLARY,278,279,2023-07-16
Taraval,HOMICIDE,0,2,2023-07-16
Taraval,HUMAN TRAFFICKING - SEX ACT,0,1,2023-07-16
Taraval,LARCENY THEFT,1441,1554,2023-07-16
Taraval,MOTOR VEHICLE THEFT,391,335,2023-07-16
Taraval,RAPE,7,3,2023-07-16
Taraval,ROBBERY,77,74,2023-07-16
Taraval,TOTAL,2258,2306,2023-07-16
Tenderloin,ARSON,12,14,2023-07-16
Tenderloin,ASSAULT,233,257,2023-07-16
Tenderloin,BURGLARY,137,125,2023-07-16
Tenderloin,HOMICIDE,6,3,2023-07-16
Tenderloin,HUMAN TRAFFICKING - SEX ACT,0,3,2023-07-16
Tenderloin,LARCENY THEFT,913,953,2023-07-16
Tenderloin,MOTOR VEHICLE THEFT,134,115,2023-07-16
Tenderloin,RAPE,13,19,2023-07-16
Tenderloin,ROBBERY,207,197,2023-07-16
Tenderloin,TOTAL,1655,1686,2023-07-16
