district,category,ytd2023,ytd2022,updated
Bayview,ARSON,13,11,2023-03-26
Bayview,ASSAULT,66,73,2023-03-26
Bayview,BURGLARY,96,140,2023-03-26
Bayview,HOMICIDE,4,0,2023-03-26
Bayview,HUMAN TRAFFICKING - SEX ACT,0,1,2023-03-26
Bayview,LARCENY THEFT,329,365,2023-03-26
Bayview,MOTOR VEHICLE THEFT,277,245,2023-03-26
Bayview,RAPE,1,9,2023-03-26
Bayview,ROBBERY,78,53,2023-03-26
Bayview,TOTAL,864,897,2023-03-26
Central,ARSON,11,7,2023-03-26
Central,ASSAULT,50,48,2023-03-26
Central,BURGLARY,180,167,2023-03-26
Central,HOMICIDE,1,0,2023-03-26
Central,HUMAN TRAFFICKING - SEX ACT,0,0,2023-03-26
Central,LARCENY THEFT,1815,1669,2023-03-26
Central,MOTOR VEHICLE THEFT,69,134,2023-03-26
Central,RAPE,2,7,2023-03-26
Central,ROBBERY,77,80,2023-03-26
Central,TOTAL,2205,2112,2023-03-26
Citywide,ARSON,78,71,2023-03-26
Citywide,ASSAULT,541,537,2023-03-26
Citywide,BURGLARY,1254,1399,2023-03-26
Citywide,HOMICIDE,11,9,2023-03-26
Citywide,HUMAN TRAFFICKING - SEX ACT,2,5,2023-03-26
Citywide,LARCENY THEFT,6812,7961,2023-03-26
Citywide,MOTOR VEHICLE THEFT,1398,1576,2023-03-26
Citywide,RAPE,46,59,2023-03-26
Citywide,ROBBERY,618,539,2023-03-26
Citywide,TOTAL,10760,12156,2023-03-26
Ingleside,ARSON,8,4,2023-03-26
Ingleside,ASSAULT,53,48,2023-03-26
Ingleside,BURGLARY,128,114,2023-03-26
Ingleside,HOMICIDE,2,1,2023-03-26
Ingleside,HUMAN TRAFFICKING - SEX ACT,0,0,2023-03-26
Ingleside,LARCENY THEFT,341,383,2023-03-26
Ingleside,MOTOR VEHICLE THEFT,246,238,2023-03-26
Ingleside,RAPE,8,5,2023-03-26
Ingleside,ROBBERY,60,41,2023-03-26
Ingleside,TOTAL,846,834,2023-03-26
Mission,ARSON,10,5,2023-03-26
Mission,ASSAULT,86,86,2023-03-26
Mission,BURGLARY,151,194,2023-03-26
Mission,HOMICIDE,1,4,2023-03-26
Mission,HUMAN TRAFFICKING - SEX ACT,1,0,2023-03-26
Mission,LARCENY THEFT,586,867,2023-03-26
Mission,MOTOR VEHICLE THEFT,185,243,2023-03-26
Mission,RAPE,6,6,2023-03-26
Mission,ROBBERY,95,100,2023-03-26
Mission,TOTAL,1121,1505,2023-03-26
Northern,ARSON,10,16,2023-03-26
Northern,ASSAULT,54,70,2023-03-26
Northern,BURGLARY,252,220,2023-03-26
Northern,HOMICIDE,1,0,2023-03-26
Northern,HUMAN TRAFFICKING - SEX ACT,0,0,2023-03-26
Northern,LARCENY THEFT,1189,1418,2023-03-26
Northern,MOTOR VEHICLE THEFT,149,179,2023-03-26
Northern,RAPE,1,10,2023-03-26
Northern,ROBBERY,80,65,2023-03-26
Northern,TOTAL,1736,1978,2023-03-26
Park,ARSON,1,3,2023-03-26
Park,ASSAULT,16,10,2023-03-26
Park,BURGLARY,63,96,2023-03-26
Park,HOMICIDE,0,0,2023-03-26
Park,HUMAN TRAFFICKING - SEX ACT,0,0,2023-03-26
Park,LARCENY THEFT,296,324,2023-03-26
Park,MOTOR VEHICLE THEFT,67,79,2023-03-26
Park,RAPE,4,3,2023-03-26
Park,ROBBERY,14,15,2023-03-26
Park,TOTAL,461,530,2023-03-26
Richmond,ARSON,6,3,2023-03-26
Richmond,ASSAULT,16,21,2023-03-26
Richmond,BURGLARY,81,108,2023-03-26
Richmond,HOMICIDE,1,0,2023-03-26
Richmond,HUMAN TRAFFICKING - SEX ACT,0,0,2023-03-26
Richmond,LARCENY THEFT,693,736,2023-03-26
Richmond,MOTOR VEHICLE THEFT,70,95,2023-03-26
Richmond,RAPE,0,1,2023-03-26
Richmond,ROBBERY,37,13,2023-03-26
Richmond,TOTAL,904,977,2023-03-26
Southern,ARSON,10,13,2023-03-26
Southern,ASSAULT,85,70,2023-03-26
Southern,BURGLARY,149,186,2023-03-26
Southern,HOMICIDE,0,1,2023-03-26
Southern,HUMAN TRAFFICKING - SEX ACT,1,2,2023-03-26
Southern,LARCENY THEFT,579,1135,2023-03-26
Southern,MOTOR VEHICLE THEFT,117,146,2023-03-26
Southern,RAPE,9,5,2023-03-26
Southern,ROBBERY,68,56,2023-03-26
Southern,TOTAL,1018,1614,2023-03-26
Taraval,ARSON,3,2,2023-03-26
Taraval,ASSAULT,21,19,2023-03-26
Taraval,BURGLARY,107,104,2023-03-26
Taraval,HOMICIDE,0,1,2023-03-26
Taraval,HUMAN TRAFFICKING - SEX ACT,0,0,2023-03-26
Taraval,LARCENY THEFT,542,691,2023-03-26
Taraval,MOTOR VEHICLE THEFT,166,160,2023-03-26
Taraval,RAPE,4,2,2023-03-26
Taraval,ROBBERY,35,33,2023-03-26
Taraval,TOTAL,878,1012,2023-03-26
Tenderloin,ARSON,5,7,2023-03-26
Tenderloin,ASSAULT,93,89,2023-03-26
Tenderloin,BURGLARY,46,70,2023-03-26
Tenderloin,HOMICIDE,1,2,2023-03-26
Tenderloin,HUMAN TRAFFICKING - SEX ACT,0,1,2023-03-26
Tenderloin,LARCENY THEFT,389,303,2023-03-26
Tenderloin,MOTOR VEHICLE THEFT,47,47,2023-03-26
Tenderloin,RAPE,8,9,2023-03-26
Tenderloin,ROBBERY,73,82,2023-03-26
Tenderloin,TOTAL,662,610,2023-03-26
