district,category,ytd2022,ytd2021,updated
Bayview,ARSON,6,4,2023-02-05
Bayview,ASSAULT,29,19,2023-02-05
Bayview,BURGLARY,52,67,2023-02-05
Bayview,HOMICIDE,2,0,2023-02-05
Bayview,HUMAN TRAFFICKING - SEX ACT,0,1,2023-02-05
Bayview,LARCENY THEFT,99,152,2023-02-05
Bayview,MOTOR VEHICLE THEFT,107,117,2023-02-05
Bayview,RAPE,0,3,2023-02-05
Bayview,ROBBERY,34,18,2023-02-05
Bayview,TOTAL,329,381,2023-02-05
Central,ARSON,0,2,2023-02-05
Central,ASSAULT,25,18,2023-02-05
Central,BURGLARY,71,61,2023-02-05
Central,HOMICIDE,0,0,2023-02-05
Central,HUMAN TRAFFICKING - SEX ACT,0,0,2023-02-05
Central,LARCENY THEFT,723,640,2023-02-05
Central,MOTOR VEHICLE THEFT,24,51,2023-02-05
Central,RAPE,1,3,2023-02-05
Central,ROBBERY,22,29,2023-02-05
Central,TOTAL,866,804,2023-02-05
Citywide,ARSON,30,35,2023-02-05
Citywide,ASSAULT,216,217,2023-02-05
Citywide,BURGLARY,512,620,2023-02-05
Citywide,HOMICIDE,5,4,2023-02-05
Citywide,HUMAN TRAFFICKING - SEX ACT,1,2,2023-02-05
Citywide,LARCENY THEFT,2462,3219,2023-02-05
Citywide,MOTOR VEHICLE THEFT,543,675,2023-02-05
Citywide,RAPE,15,26,2023-02-05
Citywide,ROBBERY,235,211,2023-02-05
Citywide,TOTAL,4019,5009,2023-02-05
Ingleside,ARSON,5,1,2023-02-05
Ingleside,ASSAULT,18,18,2023-02-05
Ingleside,BURGLARY,43,53,2023-02-05
Ingleside,HOMICIDE,1,1,2023-02-05
Ingleside,HUMAN TRAFFICKING - SEX ACT,0,0,2023-02-05
Ingleside,LARCENY THEFT,95,138,2023-02-05
Ingleside,MOTOR VEHICLE THEFT,99,109,2023-02-05
Ingleside,RAPE,4,2,2023-02-05
Ingleside,ROBBERY,26,15,2023-02-05
Ingleside,TOTAL,291,337,2023-02-05
Mission,ARSON,2,3,2023-02-05
Mission,ASSAULT,38,37,2023-02-05
Mission,BURGLARY,70,85,2023-02-05
Mission,HOMICIDE,1,2,2023-02-05
Mission,HUMAN TRAFFICKING - SEX ACT,1,0,2023-02-05
Mission,LARCENY THEFT,235,379,2023-02-05
Mission,MOTOR VEHICLE THEFT,79,101,2023-02-05
Mission,RAPE,3,0,2023-02-05
Mission,ROBBERY,34,42,2023-02-05
Mission,TOTAL,463,649,2023-02-05
Northern,ARSON,3,8,2023-02-05
Northern,ASSAULT,26,36,2023-02-05
Northern,BURGLARY,114,94,2023-02-05
Northern,HOMICIDE,1,0,2023-02-05
Northern,HUMAN TRAFFICKING - SEX ACT,0,0,2023-02-05
Northern,LARCENY THEFT,492,597,2023-02-05
Northern,MOTOR VEHICLE THEFT,55,64,2023-02-05
Northern,RAPE,1,4,2023-02-05
Northern,ROBBERY,28,27,2023-02-05
Northern,TOTAL,720,830,2023-02-05
Park,ARSON,1,3,2023-02-05
Park,ASSAULT,7,7,2023-02-05
Park,BURGLARY,27,54,2023-02-05
Park,HOMICIDE,0,0,2023-02-05
Park,HUMAN TRAFFICKING - SEX ACT,0,0,2023-02-05
Park,LARCENY THEFT,113,138,2023-02-05
Park,MOTOR VEHICLE THEFT,23,39,2023-02-05
Park,RAPE,0,2,2023-02-05
Park,ROBBERY,7,6,2023-02-05
Park,TOTAL,178,249,2023-02-05
Richmond,ARSON,3,0,2023-02-05
Richmond,ASSAULT,9,8,2023-02-05
Richmond,BURGLARY,27,46,2023-02-05
Richmond,HOMICIDE,0,0,2023-02-05
Richmond,HUMAN TRAFFICKING - SEX ACT,0,0,2023-02-05
Richmond,LARCENY THEFT,264,307,2023-02-05
Richmond,MOTOR VEHICLE THEFT,28,32,2023-02-05
Richmond,RAPE,0,1,2023-02-05
Richmond,ROBBERY,17,7,2023-02-05
Richmond,TOTAL,348,401,2023-02-05
Southern,ARSON,4,9,2023-02-05
Southern,ASSAULT,25,29,2023-02-05
Southern,BURGLARY,50,81,2023-02-05
Southern,HOMICIDE,0,1,2023-02-05
Southern,HUMAN TRAFFICKING - SEX ACT,0,1,2023-02-05
Southern,LARCENY THEFT,159,444,2023-02-05
Southern,MOTOR VEHICLE THEFT,43,60,2023-02-05
Southern,RAPE,2,3,2023-02-05
Southern,ROBBERY,26,30,2023-02-05
Southern,TOTAL,309,658,2023-02-05
Taraval,ARSON,3,0,2023-02-05
Taraval,ASSAULT,5,7,2023-02-05
Taraval,BURGLARY,40,46,2023-02-05
Taraval,HOMICIDE,0,0,2023-02-05
Taraval,HUMAN TRAFFICKING - SEX ACT,0,0,2023-02-05
Taraval,LARCENY THEFT,160,289,2023-02-05
Taraval,MOTOR VEHICLE THEFT,61,78,2023-02-05
Taraval,RAPE,1,1,2023-02-05
Taraval,ROBBERY,9,8,2023-02-05
Taraval,TOTAL,279,429,2023-02-05
Tenderloin,ARSON,2,5,2023-02-05
Tenderloin,ASSAULT,34,36,2023-02-05
Tenderloin,BURGLARY,18,33,2023-02-05
Tenderloin,HOMICIDE,0,0,2023-02-05
Tenderloin,HUMAN TRAFFICKING - SEX ACT,0,0,2023-02-05
Tenderloin,LARCENY THEFT,107,114,2023-02-05
Tenderloin,MOTOR VEHICLE THEFT,22,21,2023-02-05
Tenderloin,RAPE,3,6,2023-02-05
Tenderloin,ROBBERY,31,29,2023-02-05
Tenderloin,TOTAL,217,244,2023-02-05
