district,category,ytd2022,ytd2021,updated
Bayview,ARSON,34,59,2022-11-20
Bayview,ASSAULT,338,339,2022-11-20
Bayview,BURGLARY,481,463,2022-11-20
Bayview,HOMICIDE,13,14,2022-11-20
Bayview,HUMAN TRAFFICKING - INV SERV,0,1,2022-11-20
Bayview,HUMAN TRAFFICKING - SEX ACT,1,2,2022-11-20
Bayview,LARCENY THEFT,1430,1510,2022-11-20
Bayview,MOTOR VEHICLE THEFT,935,899,2022-11-20
Bayview,RAPE,22,22,2022-11-20
Bayview,ROBBERY,198,196,2022-11-20
Bayview,TOTAL,3452,3505,2022-11-20
Central,ARSON,36,32,2022-11-20
Central,ASSAULT,201,174,2022-11-20
Central,BURGLARY,632,780,2022-11-20
Central,HOMICIDE,1,0,2022-11-20
Central,HUMAN TRAFFICKING - INV SERV,0,0,2022-11-20
Central,HUMAN TRAFFICKING - SEX ACT,2,2,2022-11-20
Central,LARCENY THEFT,7214,6719,2022-11-20
Central,MOTOR VEHICLE THEFT,421,403,2022-11-20
Central,RAPE,25,16,2022-11-20
Central,ROBBERY,309,288,2022-11-20
Central,TOTAL,8841,8414,2022-11-20
Citywide,ARSON,267,296,2022-11-20
Citywide,ASSAULT,2330,2141,2022-11-20
Citywide,BURGLARY,5190,6560,2022-11-20
Citywide,HOMICIDE,48,49,2022-11-20
Citywide,HUMAN TRAFFICKING - INV SERV,1,3,2022-11-20
Citywide,HUMAN TRAFFICKING - SEX ACT,15,30,2022-11-20
Citywide,LARCENY THEFT,31089,27631,2022-11-20
Citywide,MOTOR VEHICLE THEFT,5547,5343,2022-11-20
Citywide,RAPE,211,202,2022-11-20
Citywide,ROBBERY,2146,2024,2022-11-20
Citywide,TOTAL,46844,44279,2022-11-20
Ingleside,ARSON,22,20,2022-11-20
Ingleside,ASSAULT,206,184,2022-11-20
Ingleside,BURGLARY,500,590,2022-11-20
Ingleside,HOMICIDE,7,2,2022-11-20
Ingleside,HUMAN TRAFFICKING - INV SERV,1,1,2022-11-20
Ingleside,HUMAN TRAFFICKING - SEX ACT,0,1,2022-11-20
Ingleside,LARCENY THEFT,1645,1483,2022-11-20
Ingleside,MOTOR VEHICLE THEFT,855,779,2022-11-20
Ingleside,RAPE,17,15,2022-11-20
Ingleside,ROBBERY,208,207,2022-11-20
Ingleside,TOTAL,3461,3282,2022-11-20
Mission,ARSON,37,54,2022-11-20
Mission,ASSAULT,341,341,2022-11-20
Mission,BURGLARY,687,886,2022-11-20
Mission,HOMICIDE,9,8,2022-11-20
Mission,HUMAN TRAFFICKING - INV SERV,0,0,2022-11-20
Mission,HUMAN TRAFFICKING - SEX ACT,1,3,2022-11-20
Mission,LARCENY THEFT,2941,2573,2022-11-20
Mission,MOTOR VEHICLE THEFT,836,793,2022-11-20
Mission,RAPE,25,27,2022-11-20
Mission,ROBBERY,372,310,2022-11-20
Mission,TOTAL,5249,4995,2022-11-20
Northern,ARSON,58,35,2022-11-20
Northern,ASSAULT,270,230,2022-11-20
Northern,BURGLARY,830,1200,2022-11-20
Northern,HOMICIDE,7,6,2022-11-20
Northern,HUMAN TRAFFICKING - INV SERV,0,0,2022-11-20
Northern,HUMAN TRAFFICKING - SEX ACT,1,4,2022-11-20
Northern,LARCENY THEFT,5525,4941,2022-11-20
Northern,MOTOR VEHICLE THEFT,605,602,2022-11-20
Northern,RAPE,32,24,2022-11-20
Northern,ROBBERY,270,297,2022-11-20
Northern,TOTAL,7598,7339,2022-11-20
Park,ARSON,6,9,2022-11-20
Park,ASSAULT,57,61,2022-11-20
Park,BURGLARY,389,436,2022-11-20
Park,HOMICIDE,2,4,2022-11-20
Park,HUMAN TRAFFICKING - INV SERV,0,0,2022-11-20
Park,HUMAN TRAFFICKING - SEX ACT,0,1,2022-11-20
Park,LARCENY THEFT,1489,1565,2022-11-20
Park,MOTOR VEHICLE THEFT,287,263,2022-11-20
Park,RAPE,10,8,2022-11-20
Park,ROBBERY,44,42,2022-11-20
Park,TOTAL,2284,2389,2022-11-20
Richmond,ARSON,6,21,2022-11-20
Richmond,ASSAULT,76,71,2022-11-20
Richmond,BURGLARY,386,585,2022-11-20
Richmond,HOMICIDE,0,0,2022-11-20
Richmond,HUMAN TRAFFICKING - INV SERV,0,0,2022-11-20
Richmond,HUMAN TRAFFICKING - SEX ACT,0,0,2022-11-20
Richmond,LARCENY THEFT,2934,2762,2022-11-20
Richmond,MOTOR VEHICLE THEFT,317,340,2022-11-20
Richmond,RAPE,8,9,2022-11-20
Richmond,ROBBERY,73,105,2022-11-20
Richmond,TOTAL,3800,3893,2022-11-20
Southern,ARSON,36,34,2022-11-20
Southern,ASSAULT,307,243,2022-11-20
Southern,BURGLARY,640,769,2022-11-20
Southern,HOMICIDE,1,5,2022-11-20
Southern,HUMAN TRAFFICKING - INV SERV,0,0,2022-11-20
Southern,HUMAN TRAFFICKING - SEX ACT,2,3,2022-11-20
Southern,LARCENY THEFT,3541,2895,2022-11-20
Southern,MOTOR VEHICLE THEFT,518,492,2022-11-20
Southern,RAPE,32,28,2022-11-20
Southern,ROBBERY,249,198,2022-11-20
Southern,TOTAL,5326,4667,2022-11-20
Taraval,ARSON,10,14,2022-11-20
Taraval,ASSAULT,91,96,2022-11-20
Taraval,BURGLARY,470,571,2022-11-20
Taraval,HOMICIDE,2,0,2022-11-20
Taraval,HUMAN TRAFFICKING - INV SERV,0,0,2022-11-20
Taraval,HUMAN TRAFFICKING - SEX ACT,1,3,2022-11-20
Taraval,LARCENY THEFT,2521,1897,2022-11-20
Taraval,MOTOR VEHICLE THEFT,567,537,2022-11-20
Taraval,RAPE,6,13,2022-11-20
Taraval,ROBBERY,114,114,2022-11-20
Taraval,TOTAL,3782,3245,2022-11-20
Tenderloin,ARSON,22,18,2022-11-20
Tenderloin,ASSAULT,434,391,2022-11-20
Tenderloin,BURGLARY,175,275,2022-11-20
Tenderloin,HOMICIDE,6,10,2022-11-20
Tenderloin,HUMAN TRAFFICKING - INV SERV,0,0,2022-11-20
Tenderloin,HUMAN TRAFFICKING - SEX ACT,3,5,2022-11-20
Tenderloin,LARCENY THEFT,1531,1090,2022-11-20
Tenderloin,MOTOR VEHICLE THEFT,186,214,2022-11-20
Tenderloin,RAPE,30,25,2022-11-20
Tenderloin,ROBBERY,308,259,2022-11-20
Tenderloin,TOTAL,2695,2287,2022-11-20
