district,category,ytd2023,ytd2022,updated
Bayview,ARSON,16,18,2023-05-21
Bayview,ASSAULT,114,137,2023-05-21
Bayview,BURGLARY,167,227,2023-05-21
Bayview,HOMICIDE,5,1,2023-05-21
Bayview,HUMAN TRAFFICKING - SEX ACT,0,1,2023-05-21
Bayview,LARCENY THEFT,607,601,2023-05-21
Bayview,MOTOR VEHICLE THEFT,492,387,2023-05-21
Bayview,RAPE,1,10,2023-05-21
Bayview,ROBBERY,121,87,2023-05-21
Bayview,TOTAL,1523,1469,2023-05-21
Central,ARSON,16,8,2023-05-21
Central,ASSAULT,76,82,2023-05-21
Central,BURGLARY,297,269,2023-05-21
Central,HOMICIDE,2,0,2023-05-21
Central,HUMAN TRAFFICKING - SEX ACT,0,1,2023-05-21
Central,LARCENY THEFT,2899,2678,2023-05-21
Central,MOTOR VEHICLE THEFT,127,203,2023-05-21
Central,RAPE,6,10,2023-05-21
Central,ROBBERY,123,117,2023-05-21
Central,TOTAL,3546,3368,2023-05-21
Citywide,ARSON,119,109,2023-05-21
Citywide,ASSAULT,919,935,2023-05-21
Citywide,BURGLARY,2085,2332,2023-05-21
Citywide,HOMICIDE,20,16,2023-05-21
Citywide,HUMAN TRAFFICKING - SEX ACT,5,10,2023-05-21
Citywide,LARCENY THEFT,11551,12989,2023-05-21
Citywide,MOTOR VEHICLE THEFT,2494,2393,2023-05-21
Citywide,RAPE,78,100,2023-05-21
Citywide,ROBBERY,1003,872,2023-05-21
Citywide,TOTAL,18274,19756,2023-05-21
Ingleside,ARSON,11,11,2023-05-21
Ingleside,ASSAULT,93,85,2023-05-21
Ingleside,BURGLARY,219,215,2023-05-21
Ingleside,HOMICIDE,2,3,2023-05-21
Ingleside,HUMAN TRAFFICKING - SEX ACT,0,0,2023-05-21
Ingleside,LARCENY THEFT,594,652,2023-05-21
Ingleside,MOTOR VEHICLE THEFT,418,349,2023-05-21
Ingleside,RAPE,13,9,2023-05-21
Ingleside,ROBBERY,112,66,2023-05-21
Ingleside,TOTAL,1462,1390,2023-05-21
Mission,ARSON,14,9,2023-05-21
Mission,ASSAULT,149,147,2023-05-21
Mission,BURGLARY,244,330,2023-05-21
Mission,HOMICIDE,1,6,2023-05-21
Mission,HUMAN TRAFFICKING - SEX ACT,4,1,2023-05-21
Mission,LARCENY THEFT,983,1322,2023-05-21
Mission,MOTOR VEHICLE THEFT,340,369,2023-05-21
Mission,RAPE,12,10,2023-05-21
Mission,ROBBERY,140,154,2023-05-21
Mission,TOTAL,1887,2348,2023-05-21
Northern,ARSON,18,25,2023-05-21
Northern,ASSAULT,99,116,2023-05-21
Northern,BURGLARY,376,355,2023-05-21
Northern,HOMICIDE,2,1,2023-05-21
Northern,HUMAN TRAFFICKING - SEX ACT,0,1,2023-05-21
Northern,LARCENY THEFT,2056,2238,2023-05-21
Northern,MOTOR VEHICLE THEFT,266,276,2023-05-21
Northern,RAPE,7,14,2023-05-21
Northern,ROBBERY,127,105,2023-05-21
Northern,TOTAL,2951,3131,2023-05-21
Park,ARSON,2,4,2023-05-21
Park,ASSAULT,28,23,2023-05-21
Park,BURGLARY,119,181,2023-05-21
Park,HOMICIDE,1,0,2023-05-21
Park,HUMAN TRAFFICKING - SEX ACT,0,0,2023-05-21
Park,LARCENY THEFT,528,579,2023-05-21
Park,MOTOR VEHICLE THEFT,128,115,2023-05-21
Park,RAPE,5,7,2023-05-21
Park,ROBBERY,22,23,2023-05-21
Park,TOTAL,833,932,2023-05-21
Richmond,ARSON,8,3,2023-05-21
Richmond,ASSAULT,26,28,2023-05-21
Richmond,BURGLARY,148,189,2023-05-21
Richmond,HOMICIDE,1,0,2023-05-21
Richmond,HUMAN TRAFFICKING - SEX ACT,0,0,2023-05-21
Richmond,LARCENY THEFT,1212,1309,2023-05-21
Richmond,MOTOR VEHICLE THEFT,132,134,2023-05-21
Richmond,RAPE,0,4,2023-05-21
Richmond,ROBBERY,59,34,2023-05-21
Richmond,TOTAL,1586,1701,2023-05-21
Southern,ARSON,18,16,2023-05-21
Southern,ASSAULT,134,117,2023-05-21
Southern,BURGLARY,250,282,2023-05-21
Southern,HOMICIDE,2,1,2023-05-21
Southern,HUMAN TRAFFICKING - SEX ACT,1,2,2023-05-21
Southern,LARCENY THEFT,825,1834,2023-05-21
Southern,MOTOR VEHICLE THEFT,210,218,2023-05-21
Southern,RAPE,13,16,2023-05-21
Southern,ROBBERY,107,98,2023-05-21
Southern,TOTAL,1560,2584,2023-05-21
Taraval,ARSON,5,4,2023-05-21
Taraval,ASSAULT,45,38,2023-05-21
Taraval,BURGLARY,183,191,2023-05-21
Taraval,HOMICIDE,0,2,2023-05-21
Taraval,HUMAN TRAFFICKING - SEX ACT,0,1,2023-05-21
Taraval,LARCENY THEFT,1049,1080,2023-05-21
Taraval,MOTOR VEHICLE THEFT,289,246,2023-05-21
Taraval,RAPE,5,2,2023-05-21
Taraval,ROBBERY,57,49,2023-05-21
Taraval,TOTAL,1633,1613,2023-05-21
Tenderloin,ARSON,10,11,2023-05-21
Tenderloin,ASSAULT,154,155,2023-05-21
Tenderloin,BURGLARY,81,93,2023-05-21
Tenderloin,HOMICIDE,4,2,2023-05-21
Tenderloin,HUMAN TRAFFICKING - SEX ACT,0,2,2023-05-21
Tenderloin,LARCENY THEFT,646,564,2023-05-21
Tenderloin,MOTOR VEHICLE THEFT,80,83,2023-05-21
Tenderloin,RAPE,11,15,2023-05-21
Tenderloin,ROBBERY,134,138,2023-05-21
Tenderloin,TOTAL,1120,1063,2023-05-21
