district,category,ytd2023,ytd2022,updated
Bayview,ARSON,23,30,2023-07-30
Bayview,ASSAULT,172,224,2023-07-30
Bayview,BURGLARY,245,328,2023-07-30
Bayview,HOMICIDE,8,5,2023-07-30
Bayview,HUMAN TRAFFICKING - SEX ACT,0,1,2023-07-30
Bayview,LARCENY THEFT,954,930,2023-07-30
Bayview,MOTOR VEHICLE THEFT,728,578,2023-07-30
Bayview,RAPE,4,19,2023-07-30
Bayview,ROBBERY,165,127,2023-07-30
Bayview,TOTAL,2299,2242,2023-07-30
Central,ARSON,20,16,2023-07-30
Central,ASSAULT,118,131,2023-07-30
Central,BURGLARY,460,409,2023-07-30
Central,HOMICIDE,2,0,2023-07-30
Central,HUMAN TRAFFICKING - SEX ACT,0,2,2023-07-30
Central,LARCENY THEFT,4482,4272,2023-07-30
Central,MOTOR VEHICLE THEFT,258,287,2023-07-30
Central,RAPE,10,16,2023-07-30
Central,ROBBERY,185,193,2023-07-30
Central,TOTAL,5535,5326,2023-07-30
Citywide,ARSON,168,169,2023-07-30
Citywide,ASSAULT,1395,1505,2023-07-30
Citywide,BURGLARY,3284,3482,2023-07-30
Citywide,HOMICIDE,32,27,2023-07-30
Citywide,HUMAN TRAFFICKING - SEX ACT,9,13,2023-07-30
Citywide,LARCENY THEFT,18307,19895,2023-07-30
Citywide,MOTOR VEHICLE THEFT,3954,3548,2023-07-30
Citywide,RAPE,125,153,2023-07-30
Citywide,ROBBERY,1550,1366,2023-07-30
Citywide,TOTAL,28824,30158,2023-07-30
Ingleside,ARSON,15,17,2023-07-30
Ingleside,ASSAULT,140,127,2023-07-30
Ingleside,BURGLARY,355,324,2023-07-30
Ingleside,HOMICIDE,3,4,2023-07-30
Ingleside,HUMAN TRAFFICKING - SEX ACT,0,0,2023-07-30
Ingleside,LARCENY THEFT,1151,1003,2023-07-30
Ingleside,MOTOR VEHICLE THEFT,662,527,2023-07-30
Ingleside,RAPE,16,15,2023-07-30
Ingleside,ROBBERY,171,120,2023-07-30
Ingleside,TOTAL,2513,2137,2023-07-30
Mission,ARSON,17,17,2023-07-30
Mission,ASSAULT,224,230,2023-07-30
Mission,BURGLARY,371,476,2023-07-30
Mission,HOMICIDE,2,8,2023-07-30
Mission,HUMAN TRAFFICKING - SEX ACT,6,1,2023-07-30
Mission,LARCENY THEFT,1536,1935,2023-07-30
Mission,MOTOR VEHICLE THEFT,541,533,2023-07-30
Mission,RAPE,24,15,2023-07-30
Mission,ROBBERY,226,233,2023-07-30
Mission,TOTAL,2947,3448,2023-07-30
Northern,ARSON,27,37,2023-07-30
Northern,ASSAULT,150,173,2023-07-30
Northern,BURGLARY,568,531,2023-07-30
Northern,HOMICIDE,3,3,2023-07-30
Northern,HUMAN TRAFFICKING - SEX ACT,1,1,2023-07-30
Northern,LARCENY THEFT,3022,3511,2023-07-30
Northern,MOTOR VEHICLE THEFT,433,401,2023-07-30
Northern,RAPE,16,20,2023-07-30
Northern,ROBBERY,195,171,2023-07-30
Northern,TOTAL,4415,4848,2023-07-30
Park,ARSON,5,5,2023-07-30
Park,ASSAULT,42,39,2023-07-30
Park,BURGLARY,212,278,2023-07-30
Park,HOMICIDE,1,1,2023-07-30
Park,HUMAN TRAFFICKING - SEX ACT,0,0,2023-07-30
Park,LARCENY THEFT,927,902,2023-07-30
Park,MOTOR VEHICLE THEFT,201,178,2023-07-30
Park,RAPE,6,9,2023-07-30
Park,ROBBERY,39,30,2023-07-30
Park,TOTAL,1433,1442,2023-07-30
Richmond,ARSON,9,3,2023-07-30
Richmond,ASSAULT,33,37,2023-07-30
Richmond,BURGLARY,246,276,2023-07-30
Richmond,HOMICIDE,2,0,2023-07-30
Richmond,HUMAN TRAFFICKING - SEX ACT,0,0,2023-07-30
Richmond,LARCENY THEFT,1908,1919,2023-07-30
Richmond,MOTOR VEHICLE THEFT,190,207,2023-07-30
Richmond,RAPE,1,6,2023-07-30
Richmond,ROBBERY,85,48,2023-07-30
Richmond,TOTAL,2474,2496,2023-07-30
Southern,ARSON,30,23,2023-07-30
Southern,ASSAULT,202,195,2023-07-30
Southern,BURGLARY,362,424,2023-07-30
Southern,HOMICIDE,4,1,2023-07-30
Southern,HUMAN TRAFFICKING - SEX ACT,2,2,2023-07-30
Southern,LARCENY THEFT,1549,2558,2023-07-30
Southern,MOTOR VEHICLE THEFT,343,345,2023-07-30
Southern,RAPE,21,27,2023-07-30
Southern,ROBBERY,172,160,2023-07-30
Southern,TOTAL,2685,3735,2023-07-30
Taraval,ARSON,8,7,2023-07-30
Taraval,ASSAULT,60,61,2023-07-30
Taraval,BURGLARY,315,301,2023-07-30
Taraval,HOMICIDE,0,2,2023-07-30
Taraval,HUMAN TRAFFICKING - SEX ACT,0,1,2023-07-30
Taraval,LARCENY THEFT,1570,1635,2023-07-30
Taraval,MOTOR VEHICLE THEFT,437,357,2023-07-30
Taraval,RAPE,7,3,2023-07-30
Taraval,ROBBERY,83,75,2023-07-30
Taraval,TOTAL,2480,2442,2023-07-30
Tenderloin,ARSON,13,14,2023-07-30
Tenderloin,ASSAULT,251,281,2023-07-30
Tenderloin,BURGLARY,148,134,2023-07-30
Tenderloin,HOMICIDE,7,3,2023-07-30
Tenderloin,HUMAN TRAFFICKING - SEX ACT,0,3,2023-07-30
Tenderloin,LARCENY THEFT,958,1014,2023-07-30
Tenderloin,MOTOR VEHICLE THEFT,144,121,2023-07-30
Tenderloin,RAPE,14,20,2023-07-30
Tenderloin,ROBBERY,228,208,2023-07-30
Tenderloin,TOTAL,1763,1798,2023-07-30
