district,category,total18,total19,total20,total21,ytd2022,updated,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
Citywide,Homicide,46,41,48,56,43,2022-10-30,55,145,48.3,36.6,34.1,-1.8,14,5,5.9,6.9,6.7,5.9
Citywide,Rape,435,396,224,204,202,2022-10-30,239,824,274.7,-48.5,-39.6,17.2,-13,48.6,27.5,25,29.3,33.7
Citywide,Robbery,3228,3099,2404,2242,2006,2022-10-30,2371,7745,2581.7,-27.7,-23.5,5.8,-8,380.2,294.9,275,290.8,316.7
Citywide,Aggravated Assault,2639,2547,2183,2381,2193,2022-10-30,2605,7111,2370.3,-6.5,2.3,9.4,10,312.4,267.8,292.1,319.6,290.8
Citywide,Human Trafficking - Sex Act,109,51,24,29,14,2022-10-30,15,104,34.7,-43.1,-70.6,-48.3,-57,6.3,2.9,3.6,1.8,4.3
Citywide,Human Trafficking - Inv Serv,1,0,0,0,1,2022-10-30,0,0,0,NA,NA,NA,NA,0,0,0,0,0
Citywide,Burglary,5685,4961,7575,7217,4890,2022-10-30,6056,19753,6584.3,45.5,22.1,-16.1,-8,608.6,929.2,885.3,742.9,807.7
Citywide,Larceny Theft,42610,42022,25692,31139,28943,2022-10-30,35721,98853,32951,-25.9,-15,14.7,8,5154.8,3151.6,3819.8,4381.9,4042.1
Citywide,Motor Vehicle Theft,4363,4442,6082,6030,5155,2022-10-30,6275,16554,5518,35.7,41.3,4.1,14,544.9,746.1,739.7,769.7,676.9
Citywide,Arson,288,285,411,387,251,2022-10-30,281,1083,361,35.8,-1.4,-27.4,-22,35,50.4,47.5,34.5,44.3
